chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	34230188	34231476	chr21	34241792	34243100	"0,255,255"	27	chr21-chr21-1	0.0	10.0	11614.0	5.17489142997831	27.586520430209326	61.03212925136342
chr21	43613432	43613691	chr21	43638557	43640479	"0,255,255"	5	chr21-chr21-1002	0.0	inf	25956.5	300.0	300.0	12.709582983051499
chr21	26980728	26981013	chr21	27080997	27081246	"0,255,255"	5	chr21-chr21-101	0.0	3.5714285714285716	100251.0	5.9592313204888105	7.879003696911239	15.630049803833513
chr21	46969175	46971765	chr21	47035108	47035318	"0,255,255"	5	chr21-chr21-1011	0.0	inf	64743.0	300.0	300.0	14.428729813824232
chr21	17247278	17248276	chr21	17260536	17261809	"0,255,255"	5	chr21-chr21-1012	0.0	3.75	13395.5	5.849047688078768	5.264732428421817	17.469418296725852
chr21	34025795	34027713	chr21	34199019	34199129	"0,255,255"	5	chr21-chr21-1016	0.0	inf	172320.0	300.0	300.0	14.65214290769317
chr21	36279419	36282488	chr21	36306453	36306842	"0,255,255"	6	chr21-chr21-1038	0.0	6.0	25694.0	5.92086606307357	11.259857315821865	13.204126871332146
chr21	43430106	43430518	chr21	43482896	43483031	"0,255,255"	8	chr21-chr21-104	0.0	inf	52651.5	300.0	300.0	24.142675808306905
chr21	43757948	43758195	chr21	43843089	43845674	"0,255,255"	6	chr21-chr21-1040	0.0	inf	86310.0	300.0	300.0	10.025056272216144
chr21	34588040	34588774	chr21	34601926	34602154	"0,255,255"	6	chr21-chr21-105	0.0	6.0	13633.0	6.452681128564468	10.682116759837475	16.09032555436463
chr21	17132177	17134330	chr21	17156666	17157028	"0,255,255"	5	chr21-chr21-1054	0.0	5.0	23593.5	7.841719431455211	8.602416026614288	16.10507510597921
chr21	40966225	40966520	chr21	40982476	40983762	"0,255,255"	5	chr21-chr21-1055	0.0	inf	16746.5	300.0	300.0	19.2858244020884
chr21	45509409	45510474	chr21	45558171	45559356	"0,255,255"	5	chr21-chr21-1057	0.0	3.181818181818182	48822.0	5.153142044699828	6.911975695354942	11.937922686769213
chr21	38740668	38741955	chr21	38801805	38801983	"0,255,255"	5	chr21-chr21-1062	0.0	5.0	60582.5	6.086580213900211	9.083350863233814	14.708530439637423
chr21	34115681	34116460	chr21	34126687	34129087	"0,255,255"	5	chr21-chr21-1068	0.0	4.166666666666667	11816.5	5.325718161727899	6.726642006547529	15.630049803886642
chr21	44299490	44300411	chr21	44312771	44313628	"0,255,255"	28	chr21-chr21-107	0.0	11.11111111111111	13249.0	7.839738640782174	35.366679417267925	73.51952915696245
chr21	25139132	25140178	chr21	25162547	25165728	"0,255,255"	5	chr21-chr21-1070	0.0	5.0	24482.5	5.880680106886228	7.879003696911239	14.340737436491477
chr21	43296669	43299408	chr21	43346421	43347037	"0,255,255"	5	chr21-chr21-1071	0.0	inf	48690.5	300.0	300.0	13.48129390764814
chr21	33083343	33086426	chr21	33104094	33105190	"0,255,255"	7	chr21-chr21-1076	0.0	4.295454545454546	19757.5	5.762650877315425	6.364942837662743	19.406273550182433
chr21	34601951	34604092	chr21	34696933	34698184	"0,255,255"	6	chr21-chr21-1081	0.0	3.5999999999999996	94537.0	8.200301378735041	8.89452432437012	11.156123010058277
chr21	30720788	30721006	chr21	30745414	30748117	"0,255,255"	6	chr21-chr21-1083	0.0	6.0	25868.5	6.745299673621221	10.682116759837475	18.8376849400103
chr21	46645515	46646908	chr21	46686347	46686794	"0,255,255"	5	chr21-chr21-1087	0.0	inf	40359.0	300.0	300.0	17.732634029249454
chr21	38738896	38740619	chr21	38765259	38765650	"0,255,255"	6	chr21-chr21-1088	0.0	4.2	25697.0	10.027169209090497	8.89452432437012	20.37927447572897
chr21	34709088	34709917	chr21	34733065	34734482	"0,255,255"	5	chr21-chr21-1090	0.0	4.0	24271.0	7.194052307653066	8.602416026614288	11.256620266639919
chr21	28221652	28222488	chr21	30116781	30118202	"0,255,255"	5	chr21-chr21-1094	0.0	3.75	1895421.5	5.087466272197473	7.592656579393306	13.338761274584071
chr21	38752011	38753222	chr21	38802870	38805016	"0,255,255"	5	chr21-chr21-1097	0.0	5.0	51326.5	5.799041952737931	6.116375980669596	13.141888630537299
chr21	27162517	27162620	chr21	27173738	27174145	"0,255,255"	6	chr21-chr21-11	0.0	inf	11373.0	300.0	300.0	18.75055239078692
chr21	45505198	45505462	chr21	45526863	45527107	"0,255,255"	8	chr21-chr21-110	0.0	4.666666666666667	21655.0	7.141216782127604	12.018364241098487	21.364452368322198
chr21	47995746	47998843	chr21	48025413	48026222	"0,255,255"	5	chr21-chr21-1101	0.0	inf	28523.0	300.0	300.0	15.431356693336134
chr21	23973549	23975894	chr21	23988718	23989430	"0,255,255"	5	chr21-chr21-1111	0.0	inf	14352.5	300.0	300.0	16.6857602670971
chr21	32145889	32146147	chr21	32162127	32164504	"0,255,255"	5	chr21-chr21-1114	0.0	inf	17297.5	300.0	300.0	20.556859761664125
chr21	29130202	29131789	chr21	29316863	29321511	"0,255,255"	5	chr21-chr21-1126	0.0	5.0	188191.5	6.3114553944884975	8.210124155894936	10.330134258235597
chr21	35288226	35288272	chr21	35308961	35309338	"0,255,255"	6	chr21-chr21-114	0.0	inf	20900.5	300.0	300.0	14.516193430890777
chr21	16427148	16436458	chr21	16854990	16855746	"0,255,255"	8	chr21-chr21-1152	0.0	8.0	423565.0	11.062479846342145	16.80012973893372	11.629569683559412
chr21	25889827	25905506	chr21	26026416	26034671	"0,255,255"	16	chr21-chr21-1164	0.0	7.507692307692307	132877.0	6.794154010408119	12.027721993597032	23.42273661246132
chr21	35720199	35720469	chr21	35734235	35734582	"0,255,255"	10	chr21-chr21-118	0.0	6.0	14074.5	9.89460177024072	16.599229331381927	26.94830491461849
chr21	36591896	36592794	chr21	36613596	36614360	"0,255,255"	19	chr21-chr21-12	0.0	9.5	21633.0	6.079698605116884	24.810907235632047	44.83990592338515
chr21	35734291	35734412	chr21	36002820	36003055	"0,255,255"	7	chr21-chr21-121	0.0	2.692307692307692	268586.0	6.933442139729515	9.954183178089206	19.443025742581543
chr21	47012364	47012673	chr21	47028571	47028979	"0,255,255"	10	chr21-chr21-122	0.0	4.666666666666667	16256.5	7.699086543198647	14.858038555288257	33.00573077457755
chr21	47917210	47923376	chr21	48055089	48065199	"0,255,255"	15	chr21-chr21-1245	0.0	10.367647058823529	139851.0	6.709628623023528	14.90537477993865	28.101038608081026
chr21	15982446	15991152	chr21	16052295	16056948	"0,255,255"	9	chr21-chr21-1253	0.0	5.294117647058823	67822.5	5.47146085333138	5.342314387419493	14.452492094901642
chr21	43612726	43613991	chr21	43648084	43648538	"0,255,255"	11	chr21-chr21-126	0.0	8.0	34952.5	8.312397301152679	18.189612034624705	29.18022818833837
chr21	34733061	34734694	chr21	34752677	34753397	"0,255,255"	25	chr21-chr21-127	0.0	9.25925925925926	19159.5	7.510790439412636	32.106212968611594	47.53404552722387
chr21	42513461	42513877	chr21	42544615	42551925	"0,255,255"	7	chr21-chr21-1289	0.0	5.6	34601.0	9.105370134168167	10.740404781713318	15.747347578784337
chr21	47979495	47979749	chr21	48046553	48046692	"0,255,255"	5	chr21-chr21-130	0.0	3.3333333333333335	67000.5	5.4366490159126935	7.340505711276527	15.9438478378754
chr21	46572390	46573306	chr21	46644769	46646976	"0,255,255"	6	chr21-chr21-1307	0.0	3.5999999999999996	73024.5	7.96004304720428	8.89452432437012	17.813017556922315
chr21	45485431	45485652	chr21	45503845	45503968	"0,255,255"	8	chr21-chr21-131	0.0	4.8	18365.0	8.512529004373553	12.64410292924388	23.268448492415292
chr21	35314721	35321117	chr21	35472053	35476619	"0,255,255"	9	chr21-chr21-1319	0.0	4.754716981132075	156417.0	7.187800077326865	8.247927608004467	11.885703816458058
chr21	33591501	33593766	chr21	33613497	33619058	"0,255,255"	8	chr21-chr21-1329	0.0	4.474576271186441	23644.0	5.34480118828774	6.665699942491789	21.531631990873716
chr21	23006403	23009209	chr21	23058032	23059368	"0,255,255"	5	chr21-chr21-1334	0.0	5.0	50894.0	9.216962675744623	9.704428450397955	15.437505416525505
chr21	46890967	46892005	chr21	47077280	47079400	"0,255,255"	5	chr21-chr21-1339	0.0	2.0	186854.0	5.105855024417409	7.115329127889359	18.13534436283162
chr21	19171975	19172352	chr21	19190531	19190830	"0,255,255"	7	chr21-chr21-134	0.0	4.454545454545455	18517.0	8.069297664292288	10.45445047662324	22.239596661859846
