chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	31093298	31101947	chr21	31591773	31610599	"0,255,255"	56	chr21-chr21-1391	0.0	3.5242290748898677	503563.5	8.75474566019	14.3490266224	45.4239846778
chr21	34361952	34373786	chr21	34603953	34623216	"0,255,255"	94	chr21-chr21-1473	0.0	4.3754848719937938	245715.5	33.0015417946	47.2074406038	80.5324075356
chr21	41812594	41826385	chr21	42113338	42125103	"0,255,255"	55	chr21-chr21-1481	0.0	3.047091412742382	299731.0	11.3108917307	11.6691287034	51.5086032128
chr21	36134692	36148231	chr21	36381441	36394052	"0,255,255"	64	chr21-chr21-1782	0.0	2.3738872403560829	246285.0	5.36933764793	9.01637272626	52.4461973721
chr21	42302418	42321232	chr21	42440177	42455599	"0,255,255"	191	chr21-chr21-180	0.0	2.5039328788673307	136063.0	14.8763903066	27.635532363	179.166562882
chr21	45556115	45570192	chr21	45817524	45829832	"0,255,255"	78	chr21-chr21-1814	0.0	4.7215496368038741	260524.5	11.9928602846	27.1222599519	94.6920258192
chr21	25414155	25430411	chr21	25558203	25568924	"0,255,255"	121	chr21-chr21-219	0.0	2.5971238463189525	141280.5	8.73178770293	19.0709224791	125.588652612
chr21	14479187	14490953	chr21	14571439	14584748	"0,255,255"	51	chr21-chr21-2355	0.0	2.0192307692307692	93023.5	5.60077307883	10.0689936004	49.9102848039
chr21	36414623	36429769	chr21	36920991	36937499	"0,255,255"	62	chr21-chr21-2557	0.0	2.9149036201222378	507049.0	12.3190792318	12.2365582841	47.0461458319
chr21	31859285	31872458	chr21	32247351	32269866	"0,255,255"	79	chr21-chr21-2562	0.0	3.5033259423503327	392737.0	10.335312188	19.7034083326	66.1187967707
chr21	24886969	24905445	chr21	25031031	25047553	"0,255,255"	81	chr21-chr21-2585	0.0	2.6513911620294599	143085.0	7.9406511659	13.5443500624	74.8089851772
chr21	42142190	42154342	chr21	42249780	42267040	"0,255,255"	172	chr21-chr21-26	0.0	2.3829315599889163	110144.0	13.6588087186	22.7957300834	172.542963279
chr21	42136587	42157279	chr21	42526221	42550012	"0,255,255"	111	chr21-chr21-2610	0.0	2.6397146254458979	391183.5	7.7993696221	18.0672177575	58.174813161
chr21	44500388	44517530	chr21	44778698	44800090	"0,255,255"	80	chr21-chr21-2628	0.0	2.6836632002683665	280435.0	8.96836978077	13.6545197924	77.1105906281
chr21	25882966	25900746	chr21	26169098	26184479	"0,255,255"	68	chr21-chr21-2692	0.0	3.343166175024582	284932.5	7.9486755409	16.1095195635	58.4498268249
chr21	36497470	36512844	chr21	36920803	36937690	"0,255,255"	62	chr21-chr21-2697	0.0	2.3005565862708721	424089.5	6.73785642041	8.26861619087	40.3753966079
chr21	39173445	39193622	chr21	39398834	39415055	"0,255,255"	74	chr21-chr21-2794	0.0	2.1258259120942258	223411.0	5.87884045013	8.2843212116	58.0418780278
chr21	39177292	39193809	chr21	39432084	39446011	"0,255,255"	57	chr21-chr21-2831	0.0	2.8485757121439277	253497.0	5.549714031	10.9450872197	42.2898791072
chr21	44071895	44095717	chr21	44268799	44288101	"0,255,255"	69	chr21-chr21-2897	0.0	2.7317406143344711	194644.0	9.11828463862	24.0513660167	63.8996804585
chr21	34354028	34373678	chr21	34495805	34512967	"0,255,255"	60	chr21-chr21-2958	0.0	3.2642487046632125	140533.0	21.8594952173	31.9572702214	40.9045438512
chr21	43187729	43212169	chr21	43616828	43665587	"0,255,255"	248	chr21-chr21-3023	0.0	7.1463304817649709	441258.5	15.1440141374	163.37652615	245.248468001
chr21	29459224	29491230	chr21	29839209	29858012	"0,255,255"	84	chr21-chr21-3035	0.0	3.4063260340632602	373383.5	14.11528284	20.1546785349	64.4910845645
chr21	39515431	39532511	chr21	39704845	39732187	"0,255,255"	76	chr21-chr21-3055	0.0	2.9445951181712515	194545.0	8.289953554	15.0127424565	67.9957653189
chr21	25600466	25620107	chr21	25854522	25882680	"0,255,255"	84	chr21-chr21-3086	0.0	3.2332563510392611	258314.5	15.5888035037	18.8162008917	58.8714165434
chr21	17383204	17399813	chr21	17572986	17595877	"0,255,255"	54	chr21-chr21-3285	0.0	2.111574556830031	192923.0	12.5092838554	10.2351452214	63.4338683084
chr21	25457854	25471390	chr21	25555644	25567034	"0,255,255"	125	chr21-chr21-33	0.0	2.376425855513308	96717.0	10.0536644155	16.7624753218	139.892810872
chr21	37705743	37721917	chr21	38118877	38142802	"0,255,255"	59	chr21-chr21-3313	0.0	2.4022801302931596	417009.5	5.9710320161	8.55938658652	42.4454600195
chr21	42582843	42604684	chr21	42810175	42830710	"0,255,255"	93	chr21-chr21-3458	0.0	2.0004302000430201	226679.0	8.86062869994	8.89693648244	84.7741342223
chr21	38153292	38165510	chr21	38349145	38361405	"0,255,255"	111	chr21-chr21-36	0.0	3.7755102040816326	195874.0	21.3828134194	29.8961863978	130.84033341
chr21	36145346	36155608	chr21	36325807	36338759	"0,255,255"	109	chr21-chr21-37	0.0	3.2683658170914542	181806.0	14.5297962633	24.4696455544	119.003161007
chr21	38209410	38221562	chr21	38345161	38357127	"0,255,255"	99	chr21-chr21-374	0.0	3.2279100097815454	135658.0	12.2709276036	21.9468963289	108.670959591
chr21	26838088	26861043	chr21	28733729	28755129	"0,255,255"	76	chr21-chr21-3749	0.0	5.9236165237724085	1894863.5	19.9201073121	32.5432590386	62.2918391882
chr21	32838174	32857111	chr21	33171356	33204661	"0,255,255"	117	chr21-chr21-3854	0.0	2.165998148719531	340366.0	20.3460170809	29.7858775229	85.0759253557
chr21	24885040	24903295	chr21	25379812	25402323	"0,255,255"	73	chr21-chr21-3882	0.0	3.3937703393770335	496900.0	9.19327981461	17.5610351721	45.01692049
chr21	35831466	35855622	chr21	36014158	36036782	"0,255,255"	96	chr21-chr21-3989	0.0	2.3071377072819033	181926.0	5.273817029	12.3834401971	58.9120189312
chr21	36623485	36646975	chr21	36920972	36942736	"0,255,255"	93	chr21-chr21-4015	0.0	2.2463768115942031	296624.0	8.97415328066	11.4125697925	62.2600700466
chr21	34872777	34891394	chr21	35393604	35409894	"0,255,255"	57	chr21-chr21-4105	0.0	2.5862068965517242	519663.5	5.51205976433	9.41154747346	36.1944120735
