chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	112920537	112922473	chr5	112962866	112964350	"0,255,255"	8	chr5-chr5-10037	0.0	4.4444444444444446	42103.0	7.34328820721	10.6327575188	18.3833027636
chr5	115262029	115263409	chr5	115296218	115297650	"0,255,255"	6	chr5-chr5-10064	0.0	4.615384615384615	34215.0	5.29099478531	8.22200863774	11.9436998116
chr5	118987298	118989492	chr5	119409955	119412740	"0,255,255"	6	chr5-chr5-10071	0.0	4.7999999999999998	422952.5	5.906461984	8.89452432437	12.1727630332
chr5	119312375	119315921	chr5	119410674	119412640	"0,255,255"	8	chr5-chr5-10197	0.0	4.6315789473684212	97509.0	6.83430734883	8.11363145384	20.0825386861
chr5	177390275	177391346	chr5	177454430	177457712	"0,255,255"	12	chr5-chr5-10234	0.0	10.666666666666666	65260.5	6.23494657744	21.2654977489	23.5502560002
chr5	179732257	179734449	chr5	179819179	179821968	"0,255,255"	9	chr5-chr5-10304	0.0	6.1199999999999992	87220.5	5.80279283641	11.0759069261	10.5764538763
chr5	179819190	179821270	chr5	179905548	179908101	"0,255,255"	6	chr5-chr5-10313	0.0	4.2857142857142856	86594.5	9.22805582585	9.81278557873	10.3322939583
chr5	122774811	122774932	chr5	122777952	122778799	"0,255,255"	5	chr5-chr5-1033	0.0	5.0	3504.0	7.06613102499	8.21012415589	21.0263365944
chr5	177316682	177320950	chr5	177367279	177369300	"0,255,255"	8	chr5-chr5-10432	0.0	3.4285714285714284	49473.5	8.79872987384	9.13617695789	15.1653776752
chr5	173887758	173889128	chr5	173968456	173974588	"0,255,255"	11	chr5-chr5-10463	0.0	7.333333333333333	83079.0	8.58095732997	19.1403070366	16.0345222153
chr5	173839044	173840173	chr5	173883511	173887928	"0,255,255"	7	chr5-chr5-10498	0.0	7.0	46111.0	5.02759125362	9.5267330496	13.0536187113
chr5	176414938	176416739	chr5	176542432	176544183	"0,255,255"	10	chr5-chr5-10511	0.0	5.0	127469.0	11.1039905355	14.5816947693	17.7225480086
chr5	177310095	177312449	chr5	177366664	177368061	"0,255,255"	7	chr5-chr5-10520	0.0	5.8947368421052628	56090.5	6.75262765955	8.82326060964	12.969996042
chr5	177515628	177517336	chr5	177554213	177557527	"0,255,255"	7	chr5-chr5-10550	0.0	2.7999999999999998	39388.0	9.69177727125	10.7404047817	10.351351287
chr5	172770488	172772963	chr5	172815412	172817825	"0,255,255"	13	chr5-chr5-10578	0.0	7.7999999999999998	44893.0	6.28778832376	15.1286539551	23.7206957264
chr5	178074389	178078416	chr5	178130690	178132563	"0,255,255"	9	chr5-chr5-10596	0.0	6.9999999999999991	55224.0	5.43163056736	12.3326081655	19.0091361077
chr5	172110794	172113565	chr5	172188218	172189006	"0,255,255"	6	chr5-chr5-10642	0.0	5.1428571428571423	76432.5	5.22335192106	9.81278557873	17.710725423
chr5	43483157	43484568	chr5	43514543	43515584	"0,255,255"	21	chr5-chr5-1065	0.0	8.8421052631578956	31201.0	10.7443579999	25.0711325863	25.2375393159
chr5	38441884	38443631	chr5	38809927	38810339	"0,255,255"	5	chr5-chr5-10662	0.0	inf	367375.5	300.0	300.0	17.2099924949
chr5	39186592	39187706	chr5	39203103	39206658	"0,255,255"	8	chr5-chr5-10670	0.0	4.903225806451613	17731.5	6.09605113581	8.79409007853	19.9112429561
chr5	39376240	39379800	chr5	39423815	39426962	"0,255,255"	17	chr5-chr5-10706	0.0	8.036363636363637	47368.5	7.2728167084	19.1903102478	30.0293021632
chr5	38994473	38996068	chr5	39073741	39074706	"0,255,255"	5	chr5-chr5-10737	0.0	3.125	78953.0	6.29651549945	7.59265657939	11.0088197245
chr5	37552870	37554492	chr5	37574366	37577051	"0,255,255"	6	chr5-chr5-10882	0.0	3.2727272727272729	22027.5	7.02393139894	8.64988369929	15.8232472991
chr5	32172406	32174392	chr5	32193674	32193935	"0,255,255"	5	chr5-chr5-10941	0.0	inf	20405.5	300.0	300.0	12.3957114581
chr5	39072909	39075969	chr5	39105651	39107205	"0,255,255"	8	chr5-chr5-10949	0.0	5.5172413793103452	31989.0	5.26743601219	9.01810514611	13.5049688179
chr5	40755965	40756124	chr5	40796770	40797341	"0,255,255"	5	chr5-chr5-1097	0.0	5.0	41011.0	5.62290702422	8.21012415589	14.4854990202
chr5	141592269	141592639	chr5	141595252	141595786	"0,255,255"	5	chr5-chr5-110	0.0	4.0	3065.0	5.22366246586	6.25291400812	20.0585061041
chr5	43313414	43313673	chr5	43317156	43317565	"0,255,255"	6	chr5-chr5-1100	0.0	4.0	3817.0	7.86555178492	10.2107481356	18.9534676183
chr5	75235897	75239573	chr5	75335952	75340049	"0,255,255"	10	chr5-chr5-11095	0.0	4.7619047619047619	100265.5	7.17270164202	13.4204143127	19.1977952022
chr5	72105423	72109130	chr5	72279440	72282848	"0,255,255"	11	chr5-chr5-11162	0.0	6.5185185185185182	173867.5	5.08374359845	13.9635481716	12.7421263456
chr5	72611025	72611554	chr5	72816566	72819312	"0,255,255"	6	chr5-chr5-11183	0.0	6.0	206649.5	5.94189212398	9.46855140564	15.0055121253
chr5	76337027	76339037	chr5	76402610	76403202	"0,255,255"	7	chr5-chr5-11228	0.0	inf	64874.0	300.0	300.0	19.1156157546
chr5	43558177	43558211	chr5	43559719	43560198	"0,255,255"	5	chr5-chr5-1123	0.0	3.6363636363636362	1764.5	5.63647991237	6.91197569535	19.7037187491
chr5	42583192	42583526	chr5	42586777	42586825	"0,255,255"	6	chr5-chr5-1132	0.0	6.0	3442.0	8.40989104124	12.0057695444	24.0833275198
chr5	78646743	78648284	chr5	78667856	78669761	"0,255,255"	6	chr5-chr5-11322	0.0	4.0	21295.0	7.71447856457	7.8565474242	17.9651811434
chr5	77030405	77031517	chr5	77076366	77077975	"0,255,255"	5	chr5-chr5-11410	0.0	2.7777777777777777	46209.5	6.93182544826	7.34050571128	12.9131023824
chr5	108530072	108531978	chr5	108548771	108549292	"0,255,255"	6	chr5-chr5-11453	0.0	6.0	18006.5	5.13584960891	12.0057695444	23.2932360112
chr5	43555534	43556139	chr5	43558428	43558483	"0,255,255"	5	chr5-chr5-1151	0.0	4.4444444444444446	2619.0	5.09621703795	5.86782189326	18.0674334408
chr5	108680235	108682621	chr5	108727101	108728878	"0,255,255"	8	chr5-chr5-11541	0.0	4.9230769230769234	46561.5	7.90204762722	11.744122377	13.8610246779
chr5	109409845	109410919	chr5	109467199	109469441	"0,255,255"	6	chr5-chr5-11557	0.0	4.9090909090909083	57938.0	5.65358784046	8.64988369929	11.3391089092
chr5	109408838	109410824	chr5	109426270	109427942	"0,255,255"	7	chr5-chr5-11558	0.0	3.7692307692307692	17275.0	8.1360674507	9.95418317809	15.8189483755
chr5	181266602	181269892	chr5	181281142	181281354	"0,255,255"	5	chr5-chr5-11668	0.0	inf	13001.0	300.0	300.0	15.7912132943
chr5	181186833	181189950	chr5	181242554	181246560	"0,255,255"	12	chr5-chr5-11678	0.0	6.8571428571428568	56165.5	5.09895798472	10.3504589965	13.8504820494
chr5	181221390	181223680	chr5	181259785	181262106	"0,255,255"	9	chr5-chr5-11686	0.0	7.0434782608695654	38410.5	6.00327996278	11.3940165118	12.0811844923
chr5	181187312	181193081	chr5	181221375	181223885	"0,255,255"	36	chr5-chr5-11687	0.0	12.176470588235295	32433.5	8.63271487672	37.3375274901	55.3196982243
chr5	181045295	181047196	chr5	181087272	181088483	"0,255,255"	5	chr5-chr5-11717	0.0	4.0	41632.0	5.95928812875	7.11532912789	13.8418039001
chr5	180868617	180869582	chr5	181043338	181045557	"0,255,255"	5	chr5-chr5-11733	0.0	5.0	175348.0	6.11139877431	9.08335086323	11.2299833358
chr5	181052092	181052974	chr5	181086232	181088389	"0,255,255"	5	chr5-chr5-11736	0.0	4.166666666666667	34777.5	7.07884078836	8.21012415589	13.2171264137
chr5	10284056	10285592	chr5	10303132	10306692	"0,255,255"	7	chr5-chr5-11756	0.0	4.5862068965517242	20088.0	5.43639829797	7.57562158522	15.9509899985
chr5	69168396	69168586	chr5	69171453	69171973	"0,255,255"	6	chr5-chr5-1181	0.0	5.7599999999999998	3222.0	5.08526602388	6.56254504285	23.1212695654
chr5	66082713	66082837	chr5	66085609	66085795	"0,255,255"	5	chr5-chr5-1197	0.0	2.7777777777777777	2927.0	6.26312596946	7.34050571128	21.7375273674
chr5	69166545	69167148	chr5	69189768	69189908	"0,255,255"	5	chr5-chr5-1212	0.0	5.0	22991.5	5.34841921682	7.87900369691	13.2854736929
chr5	119377646	119377806	chr5	119379918	119380796	"0,255,255"	7	chr5-chr5-1275	0.0	5.9230769230769225	2631.0	5.62661090334	9.95418317809	29.7299849634
chr5	178113256	178114286	chr5	178130421	178131067	"0,255,255"	14	chr5-chr5-1325	0.0	6.7878787878787881	16973.0	8.83068979401	17.8148828896	34.5255445552
chr5	143243827	143244107	chr5	143245864	143246245	"0,255,255"	6	chr5-chr5-133	0.0	4.5	2087.5	5.06369175611	8.42686714338	23.4835620774
chr5	172771716	172772976	chr5	172833736	172834702	"0,255,255"	19	chr5-chr5-1348	0.0	6.8333333333333339	61873.0	7.37856207887	16.4735845619	37.197778839
chr5	179826887	179827108	chr5	179828781	179829066	"0,255,255"	6	chr5-chr5-1355	0.0	4.333333333333333	1926.0	5.74761807183	7.39259418003	22.0213879212
chr5	172770302	172771260	chr5	172902643	172903137	"0,255,255"	12	chr5-chr5-1359	0.0	7.3103448275862064	132109.0	5.55242849827	9.75401606876	29.797178942
chr5	176416007	176417111	chr5	176447752	176448571	"0,255,255"	16	chr5-chr5-1364	0.0	7.4285714285714288	31602.5	11.1250773618	22.2804876414	30.2632996994
chr5	177404326	177404602	chr5	177446153	177447294	"0,255,255"	8	chr5-chr5-1375	0.0	8.0	42259.5	7.67981907635	11.744122377	18.0179713058
chr5	172107005	172107239	chr5	172188686	172188939	"0,255,255"	5	chr5-chr5-1387	0.0	3.8888888888888884	81690.5	6.18431899251	7.34050571128	19.2442945504
chr5	173839238	173839647	chr5	173855666	173855909	"0,255,255"	6	chr5-chr5-1399	0.0	3.2727272727272729	16345.0	6.72576592005	8.64988369929	16.8268550024
chr5	141349966	141350064	chr5	141353592	141354379	"0,255,255"	5	chr5-chr5-142	0.0	5.0	3970.5	5.39831442496	9.7044284504	22.6887379468
chr5	177491410	177491738	chr5	177501139	177501841	"0,255,255"	7	chr5-chr5-1426	0.0	5.0	9916.0	5.75288512584	9.73268327336	17.5749893253
chr5	176538123	176538617	chr5	176540437	176540546	"0,255,255"	6	chr5-chr5-1428	0.0	5.0526315789473681	2121.5	5.15297029788	7.25541764909	20.9244677967
chr5	173619122	173619435	chr5	173973110	173973852	"0,255,255"	8	chr5-chr5-1435	0.0	4.7999999999999998	354202.5	8.50004017395	12.6441029292	23.8754280928
chr5	179706809	179707040	chr5	179709825	179709927	"0,255,255"	5	chr5-chr5-1445	0.0	3.75	2951.5	5.95863393454	7.59265657939	21.327361115
chr5	179622911	179623291	chr5	179668528	179668893	"0,255,255"	5	chr5-chr5-1450	0.0	4.5	45609.5	6.25994477328	7.11532912789	12.7505055516
chr5	149830100	149830633	chr5	149834282	149834466	"0,255,255"	5	chr5-chr5-147	0.0	5.0	4007.5	5.27203190249	9.08335086323	16.9941420763
chr5	173010657	173010771	chr5	173011874	173012304	"0,255,255"	5	chr5-chr5-1471	0.0	inf	1375.0	300.0	300.0	24.980986489
chr5	176616853	176617253	chr5	176619199	176619363	"0,255,255"	5	chr5-chr5-1477	0.0	4.166666666666667	2228.0	5.19643543878	8.21012415589	22.3163534114
chr5	177455277	177456653	chr5	177496971	177497828	"0,255,255"	13	chr5-chr5-1479	0.0	7.6349206349206353	41434.5	6.40489119069	12.6565255893	19.2969202566
chr5	149438249	149438552	chr5	149439969	149440068	"0,255,255"	5	chr5-chr5-149	0.0	inf	1618.0	300.0	300.0	20.5712192149
chr5	140664732	140664801	chr5	140718657	140719240	"0,255,255"	5	chr5-chr5-15	0.0	inf	54182.0	300.0	300.0	12.8350170372
chr5	177351319	177351944	chr5	177366563	177367348	"0,255,255"	8	chr5-chr5-1509	0.0	5.2173913043478262	15324.0	5.01307424014	9.80037223527	15.7862722663
chr5	172770703	172770969	chr5	172807156	172807462	"0,255,255"	6	chr5-chr5-1516	0.0	4.5	36473.0	5.31037605415	7.6920871755	14.005524025
chr5	179811770	179811821	chr5	179820798	179821272	"0,255,255"	5	chr5-chr5-1519	0.0	inf	9239.5	300.0	300.0	13.4853035871
chr5	177351516	177352135	chr5	177363224	177363522	"0,255,255"	5	chr5-chr5-1527	0.0	4.4444444444444446	11547.5	5.4408641925	7.34050571128	12.5181124942
chr5	173293815	173294308	chr5	173332112	173332389	"0,255,255"	5	chr5-chr5-1545	0.0	4.0	38189.0	6.14818448329	8.60241602661	15.4543281502
chr5	33435897	33436172	chr5	33440258	33440940	"0,255,255"	10	chr5-chr5-1561	0.0	7.5	4564.5	5.15510097557	15.8153065081	22.1092841103
chr5	34582132	34582588	chr5	34587525	34587990	"0,255,255"	8	chr5-chr5-1573	0.0	5.1428571428571423	5397.5	6.51896429243	9.13617695789	27.0212365358
chr5	37363370	37363909	chr5	37371113	37371312	"0,255,255"	5	chr5-chr5-1577	0.0	5.0	7573.0	6.7483902614	9.08335086323	15.8464969554
chr5	36994534	36994778	chr5	36995894	36996090	"0,255,255"	5	chr5-chr5-1613	0.0	3.3333333333333335	1336.0	6.21795027731	7.34050571128	23.8726463302
