chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	14864086	14865462	chr21	15482605	15483551	"0,255,255"	31	chr21-chr21-101	0.0	8.5517241379310338	618304.0	17.7558132401	41.4927054449	51.8191515016
chr21	14403828	14404339	chr21	15592363	15592688	"0,255,255"	9	chr21-chr21-104	0.0	4.9090909090909092	1188442.0	8.36044866574	14.230202417	14.6979201317
chr21	17386827	17387452	chr21	17585393	17586469	"0,255,255"	40	chr21-chr21-105	0.0	15.09433962264151	198791.5	8.2944175657	59.1651374785	93.7588843009
chr21	17387050	17387255	chr21	17554701	17554985	"0,255,255"	7	chr21-chr21-109	0.0	3.8888888888888888	167690.5	6.10268729287	11.0569121889	18.3639256821
chr21	45554745	45555124	chr21	45820707	45821002	"0,255,255"	12	chr21-chr21-11	0.0	5.2000000000000002	265920.0	5.582012579	15.0750478209	20.7189150161
chr21	16194285	16194851	chr21	16330472	16330548	"0,255,255"	5	chr21-chr21-110	0.0	inf	135942.0	300.0	300.0	12.9254598333
chr21	32993964	32994838	chr21	33126997	33128002	"0,255,255"	14	chr21-chr21-112	0.0	5.5	133098.5	8.70806668328	18.7936246962	28.5788828042
chr21	39517422	39519229	chr21	39714921	39716781	"0,255,255"	56	chr21-chr21-116	0.0	15.555555555555555	197525.5	7.97275682823	66.597845637	126.864074283
chr21	37711671	37712403	chr21	38125966	38127452	"0,255,255"	22	chr21-chr21-117	0.0	8.4912280701754383	414672.0	5.40640768739	26.6581806979	43.0312001264
chr21	38170043	38170985	chr21	38355972	38356406	"0,255,255"	19	chr21-chr21-118	0.0	12.666666666666666	185675.0	5.45314132428	28.0005435651	34.1129888249
chr21	31098384	31098821	chr21	31180345	31181239	"0,255,255"	19	chr21-chr21-121	0.0	6.333333333333333	82189.5	5.29931627364	25.663811533	35.2538062521
chr21	31197864	31199386	chr21	31580356	31581739	"0,255,255"	34	chr21-chr21-122	0.0	9.6631578947368411	382422.5	8.54536880005	39.6282002158	58.2788788317
chr21	34509890	34512068	chr21	34582101	34583382	"0,255,255"	52	chr21-chr21-124	0.0	15.010309278350515	71762.5	7.59454415076	69.0077646056	86.3336992322
chr21	36976975	36977497	chr21	37009125	37010829	"0,255,255"	32	chr21-chr21-127	0.0	32.0	32741.0	13.7009606098	70.554981684	59.6956547105
chr21	37166864	37167181	chr21	37582783	37582894	"0,255,255"	5	chr21-chr21-129	0.0	5.0	415816.0	5.14930783133	8.21012415589	13.8406692695
chr21	36503805	36504746	chr21	36588815	36590293	"0,255,255"	35	chr21-chr21-134	0.0	10.988372093023257	85278.5	5.57359479687	42.6697863777	54.2902101303
chr21	36141182	36142083	chr21	36329545	36331269	"0,255,255"	42	chr21-chr21-135	0.0	17.0	188774.5	6.00577259536	67.149349862	70.9601841191
