chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	175534133	175534318	chr5	175568075	175568285	"0,255,255"	6	chr5-chr5-1016	0.0	4.5	33954.5	5.26423803092	9.46855140564	17.7393707237
chr5	178416752	178417925	chr5	178550389	178551652	"0,255,255"	11	chr5-chr5-1019	0.0	5.32258064516129	133682.0	5.98828220258	13.3194649545	27.2033891539
chr5	170221276	170221771	chr5	170225952	170226148	"0,255,255"	6	chr5-chr5-1023	0.0	6.0	4526.5	5.15789588708	10.2107481356	17.9168659375
chr5	172716849	172716998	chr5	172932509	172932684	"0,255,255"	5	chr5-chr5-1030	0.0	3.5714285714285716	215673.0	5.86642755124	7.87900369691	12.0410413114
chr5	175724827	175725507	chr5	175730000	175730108	"0,255,255"	6	chr5-chr5-1034	0.0	inf	4887.0	300.0	300.0	22.5639508578
chr5	177317615	177318164	chr5	177382615	177382905	"0,255,255"	5	chr5-chr5-1040	0.0	4.166666666666667	64870.5	5.45506562891	8.21012415589	14.2886686304
chr5	178197017	178197120	chr5	178199736	178200394	"0,255,255"	5	chr5-chr5-1043	0.0	inf	2996.5	300.0	300.0	22.6403296341
chr5	175564858	175565443	chr5	175568020	175568195	"0,255,255"	5	chr5-chr5-1044	0.0	inf	2957.0	300.0	300.0	19.6540440159
chr5	177113995	177114138	chr5	177118196	177118718	"0,255,255"	5	chr5-chr5-1047	0.0	inf	4390.5	300.0	300.0	14.8743786842
chr5	134183672	134185047	chr5	134288611	134290038	"0,255,255"	59	chr5-chr5-105	0.0	19.032258064516128	104965.0	22.6215797134	82.3986409859	149.916847854
chr5	177455140	177455756	chr5	177500705	177501237	"0,255,255"	5	chr5-chr5-1069	0.0	3.9285714285714288	45523.0	5.30140134847	6.39912365098	10.5190020755
chr5	18312243	18312410	chr5	18314329	18314742	"0,255,255"	5	chr5-chr5-1076	0.0	4.0	2209.0	6.51498026199	8.60241602661	21.932151628
chr5	132500599	132501616	chr5	132506266	132506674	"0,255,255"	14	chr5-chr5-108	0.0	8.3125	5362.5	5.90262614892	17.9979305175	33.5530297359
chr5	10283936	10284292	chr5	10364358	10365131	"0,255,255"	7	chr5-chr5-1082	0.0	7.0	80630.5	9.83210040722	12.8286342758	16.3056020954
chr5	13987968	13988133	chr5	14364631	14365135	"0,255,255"	5	chr5-chr5-1084	0.0	inf	376832.5	300.0	300.0	14.7409031932
chr5	10690592	10691644	chr5	10695162	10695376	"0,255,255"	7	chr5-chr5-1110	0.0	4.666666666666667	4151.0	6.997970819	8.98383810481	24.4467505274
chr5	181087962	181088603	chr5	181092159	181092897	"0,255,255"	12	chr5-chr5-1117	0.0	6.2608695652173907	4245.5	7.28015669175	16.4317482222	42.3068910937
chr5	180602791	180603485	chr5	180606118	180606192	"0,255,255"	5	chr5-chr5-1123	0.0	5.0	3017.0	7.93555038388	12.0827999356	17.4178559738
chr5	81751053	81751929	chr5	81851324	81852200	"0,255,255"	28	chr5-chr5-1136	0.0	12.727272727272727	100271.0	9.5817994975	34.8135546609	76.6684704112
chr5	133110625	133112182	chr5	133246855	133248651	"0,255,255"	56	chr5-chr5-114	0.0	21.714285714285715	136349.5	12.1286437779	75.7612876292	125.985781323
chr5	132065171	132065697	chr5	132315984	132316094	"0,255,255"	8	chr5-chr5-115	0.0	8.0	250605.0	10.2474750796	18.2050004902	18.4309901326
chr5	80046543	80046901	chr5	80082915	80083105	"0,255,255"	9	chr5-chr5-1152	0.0	6.2307692307692308	36288.0	8.333547864	13.5850551166	29.1584548205
chr5	87781238	87781316	chr5	87784484	87785026	"0,255,255"	5	chr5-chr5-1159	0.0	inf	3478.0	300.0	300.0	19.1031597148
chr5	88729534	88729809	chr5	88733947	88734368	"0,255,255"	6	chr5-chr5-1163	0.0	3.5999999999999996	4486.0	7.85564639808	8.89452432437	20.8552510059
chr5	83717898	83718551	chr5	83722593	83722746	"0,255,255"	6	chr5-chr5-1170	0.0	6.0	4445.0	5.27922343869	10.6821167598	20.7784923046
chr5	103232349	103232843	chr5	103296004	103296193	"0,255,255"	5	chr5-chr5-1188	0.0	5.0	63502.5	6.02076243569	9.7044284504	16.2135978777
chr5	103232349	103232587	chr5	103235816	103236922	"0,255,255"	8	chr5-chr5-1189	0.0	8.0	3901.0	5.73724615009	13.0063065607	30.0593551386
chr5	43227590	43228025	chr5	43305953	43306701	"0,255,255"	9	chr5-chr5-1194	0.0	6.75	78519.5	9.2732242774	15.4632109415	21.5768456141
chr5	43227723	43228024	chr5	43389908	43390186	"0,255,255"	7	chr5-chr5-1195	0.0	2.7999999999999998	162173.5	6.0525274959	10.7404047817	14.4238580801
chr5	40754892	40755500	chr5	40879213	40879809	"0,255,255"	12	chr5-chr5-1198	0.0	6.0	124315.0	12.211932562	18.2950107616	33.2064251041
