chr	TimeRatio	ads	cDBSCAN_Time	cDBSCAN_cluster	kDBSCAN_Time	kDBSCAN_cluster
chr1-chr1	0.000760620491317,0.00125706428978,0.00135341490025,0.00227798392165,0.00123190909554	1.0,1.0,1.0,1.0,1.0	89.36,132.57,68.29,131.04,132.49	9854,9854,9854,9854,9854	117483.03,105460.0,50457.55,57524.55,107548.52	9855,9855,9855,9855,9855
chr10-chr10	0.0766570171811,0.0801325500828,0.0670658532927,0.0683898017851,0.097495663304	1.0,1.0,1.0,1.0,1.0	61.17,63.84,53.65,54.48,57.89	4596,4596,4596,4596,4596	797.97,796.68,799.96,796.61,593.77	4597,4597,4597,4597,4597
chr11-chr11	0.0699377629287,0.0808684739468,0.072579740874,0.0775332285265,0.071783816304	1.0,1.0,1.0,1.0,1.0	68.66,79.26,71.2,75.95,71.59	5555,5555,5555,5555,5555	981.73,980.11,980.99,979.58,997.3	5556,5556,5556,5556,5556
chr12-chr12	0.11698170887,0.0929459734964,0.0803102479541,0.0932729202384,0.0803469387755	1.0,1.0,1.0,1.0,1.0	68.88,45.59,39.45,45.7,39.37	5592,5592,5592,5592,5592	588.81,490.5,491.22,489.96,490.0	5593,5593,5593,5593,5593
chr13-chr13	0.0812606644585,0.0604841107785,0.0795193146665,0.0615515839168,0.0616163621922	1.0,1.0,1.0,1.0,1.0	40.48,30.51,40.1,31.03,31.03	2367,2367,2367,2367,2367	498.15,504.43,504.28,504.13,503.6	2368,2368,2368,2368,2368
chr14-chr14	0.0630943087142,0.0793986792238,0.103451473793,0.0765110465929,0.0782235362574	1.0,1.0,1.0,1.0,1.0	49.3,62.64,66.93,49.28,49.74	3269,3269,3269,3269,3269	781.37,788.93,646.97,644.09,635.87	3270,3270,3270,3270,3270
chr15-chr15	0.0789336862504,0.0935134485659,0.0794258546853,0.0941391656289,0.076186770428	1.0,1.0,1.0,1.0,1.0	50.1,54.48,43.77,48.38,39.16	3113,3113,3113,3113,3113	634.71,582.59,551.08,513.92,514.0	3114,3114,3114,3114,3114
chr16-chr16	0.075722531308,0.0735541599967,0.0749755559716,0.0945010013351,0.0749613923786	1.0,1.0,1.0,1.0,1.0	36.34,35.84,36.04,45.3,35.92	2976,2976,2976,2976,2976	479.91,487.26,480.69,479.36,479.18	2977,2977,2977,2977,2977
chr17-chr17	0.0702318860214,0.0940774137357,0.082066534479,0.0939344624041,0.0950614905436	1.0,1.0,1.0,1.0,1.0	62.21,73.45,59.6,68.11,59.21	4455,4455,4455,4455,4455	885.78,780.74,726.24,725.08,622.86	4456,4456,4456,4456,4456
chr18-chr18	0.07295737949,0.0613542439335,0.0616744752376,0.0873562609295,0.0621231355125	1.0,1.0,1.0,1.0,1.0	27.44,23.16,23.3,32.97,23.49	2026,2026,2026,2026,2026	376.11,377.48,377.79,377.42,378.12	2027,2027,2027,2027,2027
chr19-chr19	0.0803675370032,0.0802909151016,0.0781131998449,0.0811857003871,0.0976595700574	1.0,1.0,1.0,1.0,1.0	38.66,38.86,38.27,39.22,47.11	3553,3553,3553,3553,3553	481.04,483.99,489.93,483.09,482.39	3554,3554,3554,3554,3554
chr2-chr2	0.000950638346705,0.00100794261516,0.000901128891633,0.00124984235055,0.00104023543221	1.0,1.0,1.0,1.0,1.0	104.71,103.19,95.18,101.28,98.99	7627,7627,7627,7627,7627	110147.04,102376.86,105623.07,81034.22,95161.15	7628,7628,7628,7628,7628
chr20-chr20	0.0735735735736,0.076036185183,0.0774986107803,0.170037579699,0.112336038381	1.0,1.0,1.0,1.0,1.0	36.26,38.58,39.05,40.27,22.01	2598,2598,2598,2598,2598	492.84,507.39,503.88,236.83,195.93	2599,2599,2599,2599,2599
chr21-chr21	0.0679453647196,0.0677877645694,0.0686177919444,0.0692909760589,0.0681392311623	1.0,1.0,1.0,1.0,1.0	11.69,11.69,11.84,12.04,12.0	804,804,804,804,804	172.05,172.45,172.55,173.76,176.11	805,805,805,805,805
chr22-chr22	0.0787030622142,0.0845293409052,0.0828809387328,0.0835868316095,0.0858426664878	1.0,1.0,1.0,1.0,1.0	22.72,24.56,24.58,24.73,25.6	1730,1730,1730,1730,1730	288.68,290.55,296.57,295.86,298.22	1731,1731,1731,1731,1731
chr3-chr3	0.142501252985,0.0725604545523,0.0818363273453,0.0836287705805,0.0726183343319	1.0,1.0,1.0,1.0,1.0	96.67,48.4,54.53,55.67,48.48	6610,6610,6610,6610,6610	678.38,667.03,666.33,665.68,667.6	6611,6611,6611,6611,6611
chr4-chr4	0.067610106437,0.0580244070919,0.0655305204303,0.0587042855695,0.0582706419475	1.0,1.0,1.0,1.0,1.0	73.24,63.0,70.79,63.71,63.05	4841,4841,4841,4841,4841	1083.27,1085.75,1080.26,1085.27,1082.02	4842,4842,4842,4842,4842
chr5-chr5	0.0418435076746,0.0847445929275,0.0710998703457,0.0650801448247,0.0698675617498	1.0,1.0,1.0,1.0,1.0	52.45,98.23,77.87,71.54,76.6	5462,5462,5462,5462,5462	1253.48,1159.13,1095.22,1099.26,1096.36	5463,5463,5463,5463,5463
chr6-chr6	0.0710555298966,0.0831267705382,0.0833201358461,0.0734678003854,0.0821558372485	1.0,1.0,1.0,1.0,1.0	40.0,46.95,47.35,41.56,46.34	5876,5876,5876,5876,5876	562.94,564.8,568.29,565.69,564.05	5877,5877,5877,5877,5877
chr7-chr7	0.0623993960991,0.0729927007299,0.0636871139299,0.0695689712426,0.0642562736886	1.0,1.0,1.0,1.0,1.0	56.21,66.2,57.84,62.85,58.15	4889,4889,4889,4889,4889	900.81,906.94,908.19,903.42,904.97	4890,4890,4890,4890,4890
chr8-chr8	0.0637535215489,0.0749889451187,0.0622955238877,0.0732940294262,0.0717344488725	1.0,1.0,1.0,1.0,1.0	53.18,61.05,50.84,56.69,28.98	4328,4328,4328,4328,4328	834.15,814.12,816.11,773.46,403.99	4329,4329,4329,4329,4329
chr9-chr9	0.167148576512,0.0761691732643,0.0956035877077,0.0756545042259,0.0919911829537	1.0,1.0,1.0,1.0,1.0	60.12,25.88,32.51,25.69,31.3	3938,3938,3938,3938,3938	359.68,339.77,340.05,339.57,340.25	3939,3939,3939,3939,3939
chrM-chrM	0.173485053734,0.169460127029,0.16945735075,0.167541557305,0.168123033904	1.0,1.0,1.0,1.0,1.0	19.21,19.21,19.33,19.15,19.24	13,13,13,13,13	110.73,113.36,114.07,114.3,114.44	14,14,14,14,14
chrX-chrX	0.108681199829,0.0909941405288,0.102906628012,0.0880009537245,0.10037433794	1.0,1.0,1.0,1.0,1.0	109.53,92.4,82.35,44.29,50.41	2908,2908,2908,2908,2908	1007.81,1015.45,800.24,503.29,502.22	2909,2909,2909,2909,2909
