chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	41856822	41870244	chr5	42049658	42063357	"0,255,255"	56	chr5-chr5-10095	0.0	3.9829302987197721	192974.5	11.2370495649	16.5486406329	94.3607756142
chr5	149824313	149837827	chr5	149984163	149994937	"0,255,255"	98	chr5-chr5-1034	0.0	3.0983243755927918	158480.0	13.5723056951	20.5351486606	156.161764431
chr5	64804771	64822130	chr5	65473030	65489791	"0,255,255"	81	chr5-chr5-10379	0.0	3.2400000000000002	667960.0	9.73530295872	18.2304760221	120.153879978
chr5	67240012	67252974	chr5	68246542	68263970	"0,255,255"	66	chr5-chr5-10436	0.0	3.8372093023255816	1008763.0	14.5088492641	18.5327603698	98.9636934039
chr5	79131976	79148041	chr5	79459396	79479517	"0,255,255"	92	chr5-chr5-10670	0.0	3.2647267565649396	329448.0	12.5853425199	20.7826922866	143.746898808
chr5	87112620	87123579	chr5	87396756	87409568	"0,255,255"	50	chr5-chr5-10809	0.0	3.4364261168384878	285062.5	5.55735472902	12.5143209635	75.7188684045
chr5	93605571	93617194	chr5	93793813	93807395	"0,255,255"	53	chr5-chr5-10907	0.0	3.1585220500595947	189221.5	7.9559477636	11.844337566	90.5601838178
chr5	98769694	98782820	chr5	99023484	99034559	"0,255,255"	53	chr5-chr5-11001	0.0	5.0930930930930929	252764.5	7.52871306845	20.9041124293	69.217111154
chr5	102751324	102766632	chr5	103113355	103128085	"0,255,255"	67	chr5-chr5-11025	0.0	2.9515418502202646	361742.0	5.20663113505	13.3918152109	95.2236906754
chr5	154066791	154076539	chr5	154183407	154192734	"0,255,255"	63	chr5-chr5-1104	0.0	2.9829545454545454	116405.5	6.24248920174	12.8414561327	100.302343496
chr5	111681351	111694635	chr5	112140987	112152022	"0,255,255"	55	chr5-chr5-11153	0.0	3.5121328224776502	458511.5	6.98693017618	14.049845534	77.8985953525
chr5	154754594	154767232	chr5	154854727	154864592	"0,255,255"	78	chr5-chr5-1119	0.0	2.5939474559361488	98746.5	9.68842280988	12.6127563475	133.053811562
