chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	154467248	154468273	chr5	154609858	154611493	"0,255,255"	61	chr5-chr5-0	0.0	21.432432432432432	142915.0	13.9341269351	91.9985340055	142.914565902
chr5	150458972	150459136	chr5	150561006	150561142	"0,255,255"	6	chr5-chr5-1	0.0	3.333333333333333	102020.0	7.05894985382	9.16535310649	14.8466784384
chr5	139786813	139788351	chr5	139842833	139844898	"0,255,255"	41	chr5-chr5-1012	0.0	16.882352941176471	56283.5	8.80314593441	61.7302375594	101.253144291
chr5	139632678	139634445	chr5	139764467	139766235	"0,255,255"	22	chr5-chr5-1013	0.0	7.5625	131789.5	9.70615970874	25.5805143526	49.2093650637
chr5	9203902	9204601	chr5	9208009	9208097	"0,255,255"	5	chr5-chr5-102	0.0	2.5	3801.5	5.01341292983	8.21012415589	18.4922106354
chr5	132506025	132507816	chr5	132525504	132527235	"0,255,255"	13	chr5-chr5-1023	0.0	6.7826086956521738	19449.0	6.59026170644	18.1845201273	28.1106025585
chr5	151522766	151523866	chr5	151652124	151652466	"0,255,255"	7	chr5-chr5-1038	0.0	inf	128979.0	300.0	300.0	16.1222927367
chr5	153827558	153827933	chr5	153964711	153965497	"0,255,255"	5	chr5-chr5-1039	0.0	5.0	137358.5	7.41838259277	9.7044284504	13.9674882752
chr5	923232	923739	chr5	1167731	1167826	"0,255,255"	5	chr5-chr5-104	0.0	5.0	244293.0	10.9232871707	9.7044284504	17.1734369808
chr5	133779732	133780124	chr5	133868745	133869944	"0,255,255"	9	chr5-chr5-1053	0.0	9.0	89416.5	5.58747880374	20.8583096613	23.4565922426
chr5	133754156	133754662	chr5	133869015	133869480	"0,255,255"	5	chr5-chr5-1055	0.0	2.2222222222222223	114838.5	6.09347109059	7.34050571128	14.7858419776
chr5	9156475	9156686	chr5	9207799	9208286	"0,255,255"	5	chr5-chr5-106	0.0	5.0	51462.0	6.47413433585	9.08335086323	14.7028819692
chr5	134145882	134146068	chr5	134148113	134148683	"0,255,255"	5	chr5-chr5-1064	0.0	inf	2423.0	300.0	300.0	17.7053254462
chr5	139635807	139636556	chr5	139670792	139671844	"0,255,255"	7	chr5-chr5-1068	0.0	5.25	35136.5	5.081932603	7.28770853601	19.2250193875
chr5	6291793	6292520	chr5	6576903	6577209	"0,255,255"	6	chr5-chr5-107	0.0	6.0	284899.5	6.32329506048	12.0057695444	16.8112656514
chr5	132063186	132066200	chr5	132176440	132177509	"0,255,255"	17	chr5-chr5-1073	0.0	10.625	112281.5	9.33486235287	25.1858827009	38.8667982735
chr5	139786629	139788778	chr5	139862709	139865056	"0,255,255"	37	chr5-chr5-1075	0.0	10.471698113207548	76179.0	22.8293420692	53.5646080946	85.2347434301
chr5	17215983	17216836	chr5	18304891	18306391	"0,255,255"	24	chr5-chr5-108	0.0	15.0	1089231.5	6.84365845952	38.7676787436	58.8948631963
chr5	132662904	132664736	chr5	132674841	132675408	"0,255,255"	7	chr5-chr5-1082	0.0	4.8999999999999995	11304.5	6.11349284262	10.7404047817	20.5845920833
chr5	132386696	132386824	chr5	132505601	132506272	"0,255,255"	5	chr5-chr5-1083	0.0	inf	119176.5	300.0	300.0	12.4878065407
chr5	131163687	131165537	chr5	131416839	131417691	"0,255,255"	11	chr5-chr5-1089	0.0	6.7692307692307692	252653.0	6.96836140889	17.3995105927	24.2080162628
chr5	154945022	154946253	chr5	155028147	155028228	"0,255,255"	5	chr5-chr5-1107	0.0	inf	82550.0	300.0	300.0	15.9188299905
chr5	133423978	133425083	chr5	133460339	133460643	"0,255,255"	6	chr5-chr5-1108	0.0	inf	35960.5	300.0	300.0	17.9721386227
chr5	135560506	135561694	chr5	135829900	135830866	"0,255,255"	10	chr5-chr5-1114	0.0	6.3636363636363642	269283.0	7.67325600089	16.18924745	27.2330717167
chr5	139844460	139845364	chr5	139968842	139969062	"0,255,255"	5	chr5-chr5-1159	0.0	inf	124040.0	300.0	300.0	10.5797240726
chr5	10284100	10284493	chr5	10364357	10364513	"0,255,255"	5	chr5-chr5-116	0.0	5.0	80138.5	6.45121970181	9.08335086323	16.5731480117
chr5	132064282	132065513	chr5	132237267	132240144	"0,255,255"	11	chr5-chr5-1160	0.0	7.333333333333333	173808.0	9.15344655891	15.8647751127	24.3293849969
chr5	67164667	67167547	chr5	67208722	67210626	"0,255,255"	30	chr5-chr5-1161	0.0	7.6530612244897958	43567.0	10.7982327054	33.0985497957	70.6460765361
chr5	138578630	138579508	chr5	139262656	139262878	"0,255,255"	5	chr5-chr5-1166	0.0	inf	683698.0	300.0	300.0	12.0602780414
chr5	14726654	14728242	chr5	15003181	15004095	"0,255,255"	54	chr5-chr5-117	0.0	27.0	276190.0	18.6985926389	85.1999257202	132.72381452
chr5	68285116	68288657	chr5	68459150	68462037	"0,255,255"	34	chr5-chr5-1173	0.0	13.797101449275361	173707.0	15.7794627949	44.2403162535	76.2710198067
chr5	136248993	136250111	chr5	136686250	136686692	"0,255,255"	5	chr5-chr5-1182	0.0	5.0	436919.0	5.53096392642	9.08335086323	14.0978854781
chr5	316580	318876	chr5	430402	431813	"0,255,255"	22	chr5-chr5-1201	0.0	14.903225806451612	113379.5	7.39782186337	32.3695506477	61.5531227511
chr5	4879624	4880008	chr5	5418706	5420459	"0,255,255"	9	chr5-chr5-1209	0.0	9.0	539766.5	8.64053112508	20.8583096613	20.5037890988
chr5	6632572	6634820	chr5	6745579	6746055	"0,255,255"	10	chr5-chr5-1228	0.0	10.0	112121.0	7.03916276113	23.5573587408	24.4171414203
chr5	6765003	6766118	chr5	6837636	6837828	"0,255,255"	5	chr5-chr5-1229	0.0	inf	72171.5	300.0	300.0	14.9535138042
chr5	14269988	14270305	chr5	14273715	14273977	"0,255,255"	5	chr5-chr5-123	0.0	4.2307692307692308	3699.5	5.47633451251	6.55643971181	19.5578029005
chr5	6819683	6821339	chr5	6837228	6837796	"0,255,255"	12	chr5-chr5-1230	0.0	12.0	17001.0	8.77878682563	23.3665712185	35.6826941095
chr5	5497297	5497455	chr5	6576884	6577677	"0,255,255"	5	chr5-chr5-1231	0.0	inf	1079904.5	300.0	300.0	11.6479664419
chr5	5141518	5142778	chr5	5418891	5420489	"0,255,255"	18	chr5-chr5-1232	0.0	8.7567567567567579	277542.0	9.28666993074	23.7308667318	45.2892375425
chr5	64970857	64972086	chr5	65483699	65484034	"0,255,255"	6	chr5-chr5-1236	0.0	inf	512395.0	300.0	300.0	16.0664481197
chr5	60541417	60542201	chr5	60585850	60586776	"0,255,255"	7	chr5-chr5-1237	0.0	3.5	44504.0	6.36672221426	10.7404047817	19.6049794687
chr5	15013599	15014055	chr5	15016221	15016396	"0,255,255"	7	chr5-chr5-124	0.0	7.0	2481.5	6.38000675985	12.2781627153	26.3953903445
chr5	9361967	9362460	chr5	9498356	9499402	"0,255,255"	6	chr5-chr5-1246	0.0	5.1428571428571423	136665.5	6.36612860401	9.81278557873	17.9912505005
chr5	15003336	15003608	chr5	15005977	15006667	"0,255,255"	8	chr5-chr5-125	0.0	8.0	2850.0	6.23188040096	13.0063065607	28.7077509733
chr5	66306442	66308371	chr5	66756797	66758298	"0,255,255"	32	chr5-chr5-1253	0.0	11.574468085106384	450141.0	15.4882749674	46.1109314851	76.6440080173
chr5	64638196	64638379	chr5	64784507	64785332	"0,255,255"	5	chr5-chr5-1260	0.0	5.0	146632.0	9.15809680087	9.7044284504	15.8949494608
chr5	64810705	64811755	chr5	65482790	65483926	"0,255,255"	9	chr5-chr5-1262	0.0	6.1363636363636367	672128.0	5.78648484204	11.5638623745	22.044898137
chr5	66307605	66307964	chr5	66769630	66770669	"0,255,255"	8	chr5-chr5-1266	0.0	5.0	462365.0	9.35319719466	13.4116700129	22.1079237248
chr5	64228560	64230689	chr5	64612001	64613163	"0,255,255"	23	chr5-chr5-1269	0.0	12.0	382957.5	6.67572137296	37.1884614949	64.671935898
chr5	17279926	17280040	chr5	17282094	17282360	"0,255,255"	5	chr5-chr5-127	0.0	4.166666666666667	2244.0	5.79708782539	8.21012415589	21.4237309852
chr5	62443775	62443948	chr5	62445991	62446660	"0,255,255"	5	chr5-chr5-1289	0.0	inf	2464.0	300.0	300.0	19.3773882485
chr5	18466115	18466301	chr5	18469338	18470147	"0,255,255"	5	chr5-chr5-129	0.0	4.0	3534.5	5.38041831778	8.60241602661	17.7989545759
chr5	17215214	17217521	chr5	18313087	18314960	"0,255,255"	18	chr5-chr5-1304	0.0	7.5348837209302326	1097656.0	9.15545393385	22.5807253412	42.9796634012
chr5	13983476	13984147	chr5	13987950	13988157	"0,255,255"	5	chr5-chr5-1309	0.0	inf	4242.0	300.0	300.0	16.0735044659
chr5	14107181	14109280	chr5	14270115	14271064	"0,255,255"	15	chr5-chr5-1321	0.0	14.210526315789473	162359.0	5.00622261584	23.0125271154	32.4337325342
chr5	10283961	10284419	chr5	10424036	10424638	"0,255,255"	6	chr5-chr5-133	0.0	3.0	140147.0	6.65463229738	9.46855140564	16.8526346786
chr5	14956570	14957646	chr5	15003569	15003708	"0,255,255"	6	chr5-chr5-1332	0.0	inf	46530.5	300.0	300.0	18.0338424261
chr5	14398950	14399603	chr5	14648478	14649218	"0,255,255"	9	chr5-chr5-1338	0.0	4.5	249571.5	5.64188626927	13.8940099015	22.8524156894
chr5	17215672	17216990	chr5	18281556	18282985	"0,255,255"	15	chr5-chr5-1339	0.0	7.7999999999999998	1065939.5	5.88072278615	21.2491400908	37.3600601863
chr5	14946940	14947260	chr5	15002641	15003703	"0,255,255"	5	chr5-chr5-1347	0.0	inf	56072.0	300.0	300.0	12.0669779789
chr5	14106952	14109814	chr5	14208494	14209270	"0,255,255"	11	chr5-chr5-1350	0.0	7.7647058823529411	100499.0	8.65171394227	16.1338580137	26.0553976855
chr5	14727368	14727850	chr5	14870660	14873139	"0,255,255"	11	chr5-chr5-1353	0.0	11.0	144290.5	5.66214119216	26.2977873204	27.015617737
chr5	131264521	131265859	chr5	131381644	131382877	"0,255,255"	8	chr5-chr5-1359	0.0	4.3636363636363642	117070.5	9.6939768805	12.3168173059	19.9551353475
chr5	59670987	59671477	chr5	59673516	59673811	"0,255,255"	7	chr5-chr5-137	0.0	6.0	2431.5	7.55396885137	11.8133318172	28.0524721116
chr5	59188335	59189188	chr5	59379841	59380704	"0,255,255"	7	chr5-chr5-1375	0.0	3.8888888888888888	191511.0	7.84864803701	11.0569121889	20.2330542247
chr5	54243248	54244256	chr5	54418626	54419933	"0,255,255"	11	chr5-chr5-1378	0.0	5.7894736842105265	175527.5	6.31758971877	15.6104593175	31.3369718308
chr5	56899741	56901263	chr5	57137525	57139329	"0,255,255"	17	chr5-chr5-1385	0.0	7.7272727272727266	237925.0	5.13834183616	22.8716207031	38.1578151589
chr5	54905588	54908049	chr5	55145876	55146886	"0,255,255"	16	chr5-chr5-1389	0.0	6.1538461538461533	239562.5	10.4301163482	22.787274925	46.6258712923
chr5	53170384	53171420	chr5	53292161	53292674	"0,255,255"	5	chr5-chr5-1391	0.0	2.8571428571428572	121515.5	6.9269835485	7.87900369691	17.8548771865
chr5	55978291	55978793	chr5	56200913	56201363	"0,255,255"	7	chr5-chr5-140	0.0	4.666666666666667	222596.0	6.06811008485	10.1937245048	19.4528897466
chr5	56900459	56902246	chr5	57220936	57221509	"0,255,255"	15	chr5-chr5-1403	0.0	15.0	319870.0	7.16054658731	31.6523052258	32.1862985619
chr5	52948223	52948835	chr5	53094935	53097095	"0,255,255"	24	chr5-chr5-1405	0.0	20.210526315789473	147486.0	6.81126891629	41.181822933	60.9923594885
chr5	54517401	54518628	chr5	54844166	54846341	"0,255,255"	24	chr5-chr5-1408	0.0	7.5	327239.0	8.41976429937	31.642964164	57.333115376
chr5	55407176	55407483	chr5	55691362	55692370	"0,255,255"	6	chr5-chr5-1413	0.0	6.0	284536.5	6.33859384847	13.0585962398	18.352904021
chr5	53478307	53479091	chr5	54229319	54229425	"0,255,255"	6	chr5-chr5-1414	0.0	inf	750673.0	300.0	300.0	16.3211196197
chr5	59809452	59810351	chr5	60668465	60669388	"0,255,255"	7	chr5-chr5-1418	0.0	3.8888888888888888	859025.0	5.96687946665	11.0569121889	16.9202308381
chr5	52948460	52948792	chr5	53035973	53036140	"0,255,255"	5	chr5-chr5-142	0.0	3.75	87430.5	5.12763517208	7.59265657939	15.1534918413
chr5	54903283	54904065	chr5	54906147	54906249	"0,255,255"	6	chr5-chr5-1428	0.0	inf	2524.0	300.0	300.0	23.0722007978
chr5	57138221	57138323	chr5	57220327	57221198	"0,255,255"	5	chr5-chr5-1429	0.0	5.0	82490.5	5.25755377855	9.7044284504	12.4160506562
chr5	53478096	53478565	chr5	53991828	53992202	"0,255,255"	6	chr5-chr5-143	0.0	3.8181818181818183	513684.5	5.30530599561	8.64988369929	18.1179926393
chr5	54443316	54443871	chr5	54489433	54490149	"0,255,255"	6	chr5-chr5-1434	0.0	4.5	46197.5	5.83732021793	9.46855140564	20.3868879445
chr5	58477755	58478309	chr5	58850340	58851519	"0,255,255"	7	chr5-chr5-1437	0.0	3.5	372897.5	7.85981964546	11.4111842842	23.2536406799
chr5	57297837	57299367	chr5	57433013	57433126	"0,255,255"	5	chr5-chr5-1441	0.0	inf	134467.5	300.0	300.0	16.1421662532
chr5	56314636	56314764	chr5	56316812	56317351	"0,255,255"	5	chr5-chr5-1446	0.0	inf	2381.5	300.0	300.0	19.729555818
chr5	55935665	55936628	chr5	56201013	56201842	"0,255,255"	20	chr5-chr5-145	0.0	9.1891891891891895	265281.0	8.33744172885	27.1750653571	47.9042336099
chr5	113378231	113380010	chr5	113510667	113511164	"0,255,255"	13	chr5-chr5-1474	0.0	9.0	131795.0	5.81495548748	21.3654259819	37.1971285861
