chromosome1	x1	x2	chromosome2	y1	y2	color	observed	stripId	FDR	EnrichmentScore	EnrichmentScore_X	EnrichmentScore_Y	-log10(binomal_p-value)	-log10(poisson_p-value)
chr21	5065339	5066671	chr21	44253590	44415318	"0,255,255"	278	chr21-chr21-0	0.0	7.1649484536082477	0.2617702448210923	0.015888438017945934	3.13271039124	135.422245164
chr21	6498763	6499208	chr21	42822251	43046490	"0,255,255"	257	chr21-chr21-1	0.0	2.9768339768339769	0.5599128540305011	0.00424477661243703	28.1681672659	157.327592153
chr21	34889132	34890046	chr21	34889445	35742897	"0,255,255"	4453	chr21-chr21-106	0.0	2.8992772966990037	0.7033643974095719	0.033301923479613506	4.82163733277e-17	300.0
chr21	34906772	34910248	chr21	34908054	35601405	"0,255,255"	7917	chr21-chr21-113	0.1	2.6117507340085111	0.629582504970179	0.06470780547609317	4.82163733277e-17	300.0
chr21	14546508	14547483	chr21	14546927	14786996	"0,255,255"	508	chr21-chr21-13	0.0	2.5387306346826586	0.5570175438596491	0.010589731295991328	1.9512346169e-09	73.3615218123
chr21	35204540	35205902	chr21	35205198	35629824	"0,255,255"	1008	chr21-chr21-130	0.1	2.0647275706677592	0.33611203734578193	0.023892483822797413	4.82163733277e-17	93.2493989529
chr21	36859899	36860748	chr21	36860301	37032819	"0,255,255"	341	chr21-chr21-138	0.0	2.7656123276561235	0.2745571658615137	0.010305539605306899	4.82163733277e-17	57.576720283
chr21	36988508	36989786	chr21	36989034	37680955	"0,255,255"	1197	chr21-chr21-143	0.1	2.1680854917587391	0.5148387096774194	0.0142652842331069	4.82163733277e-17	123.877082542
chr21	37017444	37019302	chr21	37018110	37281229	"0,255,255"	887	chr21-chr21-146	0.1	2.154481418508623	0.4033651659845384	0.021204369964858596	4.82163733277e-17	90.8577775079
chr21	37221047	37221649	chr21	37222403	37683939	"0,255,255"	1001	chr21-chr21-149	0.0	5.6473906911142455	0.5576601671309193	0.01838282555598406	0.15509868206	300.0
chr21	37268059	37272148	chr21	37268548	37687235	"0,255,255"	2896	chr21-chr21-150	0.1	3.5761916522598174	0.5643024162120032	0.05854289641788631	4.82163733277e-17	300.0
chr21	37366438	37366981	chr21	37369091	37642589	"0,255,255"	514	chr21-chr21-151	0.0	3.6261022927689592	0.43781942078364566	0.013644810193788161	106.960530351	295.19448172
chr21	38067557	38068728	chr21	38067860	38128048	"0,255,255"	223	chr21-chr21-164	0.0	2.3850267379679146	0.5174013921113689	0.007771117925843323	8.41996156557e-09	29.2796001953
chr21	38803156	38807620	chr21	38803842	39519284	"0,255,255"	2133	chr21-chr21-168	0.1	2.9936842105263159	0.5617592836449828	0.018541860444900336	4.82163733277e-17	300.0
chr21	39183587	39184095	chr21	39184911	39509746	"0,255,255"	1055	chr21-chr21-170	0.0	2.5857843137254903	0.5483367983367984	0.011081467165245157	0.250928447323	155.995166966
chr21	39314148	39317214	chr21	39315066	39523370	"0,255,255"	3873	chr21-chr21-179	0.0	2.095665818949191	0.6859723698193412	0.04564902231179944	4.82163733277e-17	300.0
chr21	14675338	14680283	chr21	14675760	14963712	"0,255,255"	3388	chr21-chr21-18	0.1	2.363446110917335	0.5355674992096111	0.08378465266958479	4.82163733277e-17	300.0
chr21	39445883	39446332	chr21	39448450	39775175	"0,255,255"	634	chr21-chr21-185	0.0	4.8715697036223933	0.20504527813712808	0.04268785348774576	20.300256821	300.0
chr21	41879043	41879369	chr21	41879326	42147448	"0,255,255"	1039	chr21-chr21-189	0.1	2.9638668779714741	0.4733485193621868	0.023360913751236622	4.82163733277e-17	225.341674033
chr21	41954241	41954683	chr21	41956090	42512046	"0,255,255"	1198	chr21-chr21-195	0.0	5.1009732360097324	0.423172024019781	0.009907212914109922	48.8671491323	300.0
chr21	10341679	10343991	chr21	10342510	10591570	"0,255,255"	705	chr21-chr21-2	0.0	3.6528497409326426	0.5875	0.08445136559655007	6.18516965443e-09	175.981285104
chr21	42309310	42310507	chr21	42355632	42570655	"0,255,255"	306	chr21-chr21-202	0.0	2.8333333333333335	0.5195246179966044	0.0030851439229722236	1.29773300792	63.2012279927
chr21	42401064	42404571	chr21	42401480	43046511	"0,255,255"	9824	chr21-chr21-212	0.1	2.7374052608114132	0.52372321142979	0.06004596352256614	4.82163733277e-17	300.0
chr21	42464300	42471871	chr21	42464808	43034438	"0,255,255"	9373	chr21-chr21-218	0.1	2.0845101745802292	0.5038434661076171	0.0732603309337898	4.82163733277e-17	300.0
chr21	42974899	42975029	chr21	42976386	43061797	"0,255,255"	274	chr21-chr21-237	0.0	3.9424460431654675	0.330518697225573	0.01692298190352665	67.6519861913	166.923911626
chr21	43658706	43661164	chr21	43659033	44093813	"0,255,255"	4774	chr21-chr21-239	0.0	3.7909949972206785	0.5896739130434783	0.03362042860060424	4.82163733277e-17	300.0
chr21	14763813	14764626	chr21	14764254	15087133	"0,255,255"	357	chr21-chr21-24	0.0	2.7890625	0.2756756756756757	0.014024749558043606	3.33026099339e-09	99.7488083608
chr21	43716781	43719183	chr21	43717085	44095488	"0,255,255"	2709	chr21-chr21-242	0.1	2.4039400124234622	0.5457292506043513	0.020629154958536084	4.82163733277e-17	300.0
chr21	43727903	43728976	chr21	43728296	44095637	"0,255,255"	2651	chr21-chr21-244	0.1	2.0233552129445886	0.5005664652567976	0.020889641858082817	4.82163733277e-17	230.910260715
chr21	43787376	43792529	chr21	43787731	44095559	"0,255,255"	3923	chr21-chr21-252	0.1	2.0394052817633606	0.4726506024096386	0.040599838552770474	4.82163733277e-17	300.0
chr21	43810760	43812025	chr21	43811715	44092117	"0,255,255"	1127	chr21-chr21-257	0.0	3.7818791946308723	0.7039350405996252	0.012774446572889156	0.216073606509	300.0
chr21	15065100	15066129	chr21	15065846	15524613	"0,255,255"	965	chr21-chr21-26	0.0	4.251101321585903	0.26066990815775254	0.06871261748789519	4.82163733277e-17	300.0
chr21	43835487	43836236	chr21	43836085	44020191	"0,255,255"	240	chr21-chr21-262	0.0	2.9508196721311477	0.6521739130434783	0.0031982942430703624	0.113233986683	52.7601786817
chr21	43916543	43917352	chr21	43918293	44107413	"0,255,255"	1281	chr21-chr21-271	0.0	3.6003372681281616	0.3407821229050279	0.030764427579913062	4.82163733277e-17	300.0
chr21	44025788	44026498	chr21	44027313	44095335	"0,255,255"	495	chr21-chr21-276	0.0	3.1488549618320612	0.3142857142857143	0.04329951014695591	4.82163733277e-17	101.462003942
chr21	44339159	44341201	chr21	44339300	44972608	"0,255,255"	1703	chr21-chr21-278	0.1	3.0717893217893217	0.5103386275097392	0.024393737556042572	4.82163733277e-17	300.0
chr21	44801737	44803215	chr21	44802578	45493893	"0,255,255"	5200	chr21-chr21-285	0.0	5.7932263814616753	0.6606530301105323	0.039128929823769316	4.82163733277e-17	300.0
chr21	44817062	44817652	chr21	44817597	45105336	"0,255,255"	551	chr21-chr21-289	0.1	2.674757281553398	0.5318532818532818	0.010428693101164002	10.2037680704	173.714599031
chr21	44818867	44819198	chr21	44820506	44948843	"0,255,255"	284	chr21-chr21-290	0.0	5.1793313069908811	0.592901878914405	0.00731638199757838	12.4804170858	158.380059485
chr21	44845902	44846958	chr21	44846592	45036657	"0,255,255"	1514	chr21-chr21-297	0.1	3.6185468451242833	0.45934466019417475	0.03762986528806482	4.82163733277e-17	300.0
