chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr13	113948968	113954634	chr13	114221899	114229292	"0,255,255"	8	chr13-chr13-1067	0.0	6.9090909090909092	273794.5	5.58601717381	9.95096288784	16.055011411
chr13	27170912	27177326	chr13	27203314	27204148	"0,255,255"	5	chr13-chr13-1186	0.0	5.0	29612.0	5.7008467495	9.08335086323	10.4337328548
chr13	113948098	113948529	chr13	113950982	113951323	"0,255,255"	5	chr13-chr13-16	0.0	3.5714285714285716	2839.0	6.31910901844	7.87900369691	18.6235194128
chr13	48866408	48866573	chr13	48868426	48868996	"0,255,255"	5	chr13-chr13-177	0.0	5.0	2220.5	5.01997289599	9.7044284504	20.4897688478
chr13	48190424	48191605	chr13	48194502	48194628	"0,255,255"	5	chr13-chr13-180	0.0	5.0	3550.5	5.18254526806	9.7044284504	19.3814239583
chr13	114005052	114005635	chr13	114007610	114007892	"0,255,255"	6	chr13-chr13-19	0.0	4.5	2407.5	6.89244649804	9.46855140564	21.4113472888
chr13	51797826	51798173	chr13	51802444	51803706	"0,255,255"	6	chr13-chr13-253	0.0	3.8181818181818183	5075.5	5.1072201227	8.64988369929	18.2118796112
chr13	93369184	93370444	chr13	107848719	107850262	"0,255,255"	7	chr13-chr13-388	0.0	5.25	14479676.5	6.09492773161	10.1937245048	23.7459894935
chr13	49607249	49607452	chr13	49608531	49611246	"0,255,255"	7	chr13-chr13-595	0.0	4.8999999999999995	2538.0	8.12476589661	10.7404047817	25.9980990787
chr13	49848142	49848188	chr13	49849689	49851840	"0,255,255"	5	chr13-chr13-603	0.0	inf	2599.5	300.0	300.0	20.2978779068
chr13	99606933	99607674	chr13	99610486	99610925	"0,255,255"	5	chr13-chr13-75	0.0	4.0	3402.0	5.06037595479	7.11532912789	18.0592696426
chr13	32586526	32588377	chr13	32638882	32639763	"0,255,255"	6	chr13-chr13-994	0.0	3.0	51871.0	7.53936635429	9.46855140564	18.1237473994
chr16	10971293	10973111	chr16	11254955	11257484	"0,255,255"	8	chr16-chr16-1163	0.0	4.7999999999999998	284017.5	5.44404476078	11.2546477837	14.9561380834
chr16	10256893	10258622	chr16	10509529	10511148	"0,255,255"	7	chr16-chr16-1188	0.0	3.8181818181818183	252581.0	8.24997197407	10.4544504766	20.1129410768
chr16	19601239	19602200	chr16	19885090	19886822	"0,255,255"	5	chr16-chr16-1213	0.0	5.0	284236.5	5.22658770734	8.60241602661	16.933097551
chr16	66895308	66896514	chr16	66927010	66930349	"0,255,255"	8	chr16-chr16-1446	0.0	5.5	32768.5	7.64844421617	11.0342716684	19.1623656482
chr16	67968776	67969412	chr16	67989202	67992485	"0,255,255"	5	chr16-chr16-1474	0.0	inf	21749.5	300.0	300.0	13.0985261143
chr16	1984822	1985556	chr16	1989696	1990073	"0,255,255"	6	chr16-chr16-151	0.0	4.7142857142857144	4695.5	6.64550351904	8.03261399082	19.4149350583
chr16	4852304	4852845	chr16	4855085	4855305	"0,255,255"	6	chr16-chr16-156	0.0	6.0	2620.5	5.1595210658	10.2107481356	21.8497496684
chr16	53054096	53056349	chr16	53129581	53131738	"0,255,255"	6	chr16-chr16-1624	0.0	4.9090909090909083	75437.0	5.62049929947	8.64988369929	10.7771253767
chr16	53098767	53099867	chr16	53128812	53130619	"0,255,255"	6	chr16-chr16-1708	0.0	4.2000000000000002	30398.5	6.73510370169	8.89452432437	13.9743030603
chr16	50024635	50026306	chr16	50209059	50211467	"0,255,255"	5	chr16-chr16-1710	0.0	4.0909090909090908	184792.5	5.17831230672	6.91197569535	14.1115312842
chr16	30064344	30066902	chr16	30091569	30092687	"0,255,255"	6	chr16-chr16-1775	0.0	5.333333333333333	26505.0	5.3372368751	9.16535310649	10.5765967776
chr16	21188435	21188946	chr16	21299210	21300659	"0,255,255"	5	chr16-chr16-1855	0.0	5.0	111244.0	6.00438295995	9.08335086323	16.0465507292
chr16	22204766	22206286	chr16	22296790	22297312	"0,255,255"	5	chr16-chr16-1865	0.0	4.0	91525.0	5.57754695295	7.11532912789	11.2202847866
chr16	29688343	29690643	chr16	29691891	29691998	"0,255,255"	5	chr16-chr16-1869	0.0	5.0	2451.5	5.18720396962	8.60241602661	19.4270533778
chr16	25065458	25066682	chr16	25105297	25107216	"0,255,255"	5	chr16-chr16-1914	0.0	3.75	40186.5	7.47829991971	7.59265657939	12.3457691183
chr16	27081055	27083311	chr16	27107219	27109862	"0,255,255"	7	chr16-chr16-1971	0.0	5.3529411764705879	26357.5	7.18828619919	9.15381247286	19.3184801659
chr16	46850689	46852410	chr16	46854047	46854175	"0,255,255"	5	chr16-chr16-1981	0.0	5.0	2561.5	7.95106879811	12.0827999356	19.2699503436
chr16	88681217	88681473	chr16	88685321	88686335	"0,255,255"	6	chr16-chr16-20	0.0	6.0	4483.0	8.05993670211	13.0585962398	21.2998790837
chr16	84507642	84517812	chr16	84614784	84623005	"0,255,255"	15	chr16-chr16-2021	0.0	7.9787234042553195	106167.5	14.681995074	17.2262248616	25.8368354978
chr16	84672426	84676982	chr16	84720158	84732399	"0,255,255"	10	chr16-chr16-2024	0.0	6.666666666666667	51574.5	6.49066600677	9.44857836845	18.5247348931
chr16	85436250	85443680	chr16	85551847	85568370	"0,255,255"	15	chr16-chr16-2033	0.0	9.0410958904109577	120143.5	10.872964883	14.4634684931	12.919629007
