chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr13	77489484	77496817	chr13	77562945	77569655	"0,255,255"	101	chr13-chr13-0	0.0	7.7276205049732205	73149.5	21.2908313934	52.8472582012	193.038420855
chr13	102912686	102918705	chr13	103137411	103144436	"0,255,255"	64	chr13-chr13-1	0.0	8.4693042291950889	225228.0	11.704296164	36.8682831123	107.99539729
chr13	95187121	95193946	chr13	95400392	95407482	"0,255,255"	61	chr13-chr13-10	0.0	6.4824654622741766	213403.5	9.95809986036	28.3319782311	107.806649599
chr13	28320017	28329334	chr13	28422481	28436378	"0,255,255"	53	chr13-chr13-100	0.0	5.7050592034445646	104754.0	5.57917025691	22.279033421	71.3897760598
chr13	77767845	77787978	chr13	78115417	78126629	"0,255,255"	94	chr13-chr13-102	0.0	8.4903225806451612	343111.5	28.1453249042	53.3654808463	152.750166702
chr13	75365000	75377772	chr13	75477274	75490853	"0,255,255"	51	chr13-chr13-1027	0.0	4.0865384615384617	112677.5	6.11078721242	15.5853052217	78.2010068611
chr13	44477283	44487930	chr13	44876583	44882740	"0,255,255"	31	chr13-chr13-1072	0.0	6.4914529914529906	397055.0	6.76621031608	15.1016070976	49.3763046746
chr13	45619957	45626270	chr13	45714813	45720778	"0,255,255"	57	chr13-chr13-12	0.0	6.9810606060606064	94682.0	10.8958223376	28.7564388748	106.583206834
chr13	21908370	21921927	chr13	22272885	22282505	"0,255,255"	35	chr13-chr13-1259	0.0	5.2083333333333339	362546.5	8.99768413086	13.8856375265	54.31073346
chr13	23507507	23516349	chr13	23864496	23873157	"0,255,255"	37	chr13-chr13-127	0.0	6.221238938053097	356898.5	6.00475920454	17.6971321201	55.2140606753
chr13	33536027	33556996	chr13	33712773	33731283	"0,255,255"	71	chr13-chr13-1278	0.0	3.8233710285406568	175516.5	8.93421511974	19.7800222535	89.1979688131
chr13	110582953	110604677	chr13	110808761	110823772	"0,255,255"	76	chr13-chr13-1375	0.0	4.3428571428571425	222451.5	16.3340049773	24.293186697	116.353983442
chr13	27824539	27839187	chr13	27979045	27996239	"0,255,255"	62	chr13-chr13-1388	0.0	3.3953997809419492	155779.0	6.37737250233	15.0675176343	85.9481300623
chr13	75871388	75882627	chr13	76467871	76478498	"0,255,255"	43	chr13-chr13-139	0.0	7.3321492007104796	596177.0	12.0647290641	22.8951077008	66.6901162402
chr13	99301263	99311426	chr13	99421697	99431242	"0,255,255"	51	chr13-chr13-142	0.0	3.3319999999999999	120125.0	7.00364116595	12.5779055303	80.0859939944
chr13	40066186	40078790	chr13	40675873	40687222	"0,255,255"	54	chr13-chr13-143	0.0	5.0291627469426157	609059.5	12.0768415252	20.4542356145	76.421443849
chr13	45042276	45052570	chr13	45274696	45291155	"0,255,255"	85	chr13-chr13-144	0.0	4.7592385218365063	235502.5	9.35212843265	29.695620685	138.406727249
chr13	28322247	28327148	chr13	28635103	28639863	"0,255,255"	50	chr13-chr13-15	0.0	10.337078651685392	312785.5	6.60371564096	33.9581100251	80.8741545414
chr13	29504230	29512765	chr13	29700071	29715764	"0,255,255"	67	chr13-chr13-151	0.0	5.8515283842794767	199420.0	12.5753287437	28.5148316453	110.392800231
chr13	41899541	41919137	chr13	42034076	42055179	"0,255,255"	86	chr13-chr13-1574	0.0	3.0637691485571783	135288.5	6.33395674763	17.8580071926	127.730700991
chr13	39256796	39272186	chr13	39606181	39623637	"0,255,255"	50	chr13-chr13-1604	0.0	4.1841004184100417	350418.0	5.68364356875	15.6893110874	64.9839849041
chr13	52659036	52672753	chr13	52804535	52813830	"0,255,255"	53	chr13-chr13-162	0.0	6.1865222623345373	143288.0	12.6730995694	24.4287420602	94.7419167464
chr13	77332092	77344855	chr13	77471812	77484011	"0,255,255"	54	chr13-chr13-163	0.0	2.5352112676056335	139438.0	6.53865933116	8.67148356127	85.2992591175
chr13	20181098	20189309	chr13	20487638	20493699	"0,255,255"	36	chr13-chr13-165	0.0	6.1510791366906474	305465.0	9.00527320684	17.0921512454	64.8113918722
chr13	22055765	22067525	chr13	22272724	22284065	"0,255,255"	35	chr13-chr13-1672	0.0	4.921875	216749.5	6.46069275318	13.3127929352	48.2190185904
chr13	20934366	20949423	chr13	21472334	21487693	"0,255,255"	45	chr13-chr13-1684	0.0	7.1656050955414008	538119.0	12.821230075	22.8334763698	60.9435056388
chr13	75364826	75379331	chr13	75541541	75558345	"0,255,255"	55	chr13-chr13-1687	0.0	4.1540785498489425	177864.5	8.4367848725	17.0334627752	81.2287601336
chr13	30131270	30135991	chr13	30157864	30159879	"0,255,255"	32	chr13-chr13-17	0.0	11.059907834101383	25241.0	7.93320975995	25.5664016321	62.2774738361
chr13	21106317	21115329	chr13	21175716	21188160	"0,255,255"	48	chr13-chr13-170	0.0	7.717041800643087	71115.0	8.36120446897	25.6345080807	83.1049917918
chr13	112635946	112646142	chr13	112868965	112878846	"0,255,255"	45	chr13-chr13-173	0.0	5.802631578947369	232861.5	9.85460441025	19.6637671107	88.3502771266
chr13	48119470	48134504	chr13	48762641	48775968	"0,255,255"	42	chr13-chr13-1835	0.0	5.4830287206266322	642317.5	7.5076176141	17.2520176469	52.9599114476
chr13	48119654	48134889	chr13	48279220	48296318	"0,255,255"	52	chr13-chr13-1851	0.0	4.3660789252728796	160497.5	5.70763631171	17.0218038827	68.6280571489
chr13	109139193	109152118	chr13	110102436	110117344	"0,255,255"	40	chr13-chr13-1861	0.0	6.2222222222222223	964234.5	7.85064758124	18.6019585757	48.6152840073
chr13	26979504	26994607	chr13	27353128	27364013	"0,255,255"	99	chr13-chr13-187	0.0	5.9782608695652177	371515.0	23.1424466179	42.3964895676	163.045945358
chr13	97108169	97125867	chr13	97339288	97352485	"0,255,255"	48	chr13-chr13-1876	0.0	3.6144578313253013	228868.5	7.46826325379	12.8117071644	74.6278882514
chr13	39934878	39949234	chr13	40675424	40690827	"0,255,255"	47	chr13-chr13-1908	0.0	6.0272020725388602	741069.5	8.95238758244	20.9715761969	54.8405045014
chr13	46546151	46558420	chr13	46711843	46730070	"0,255,255"	90	chr13-chr13-194	0.0	3.7067545304777592	168671.0	8.96027013072	23.9100525583	139.540889015
