chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	5063453	5068188	chr21	44197397	44201066	"0,255,255"	106	chr21-chr21-0	0.0	15.233532934131738	39133411.0	25.5107698276	147.169786088	232.165286032
chr21	45270689	45275048	chr21	45541363	45543147	"0,255,255"	33	chr21-chr21-1001	0.0	8.3061224489795915	269386.5	8.54717215852	32.0364568838	16.6138576959
chr21	45281918	45295797	chr21	45540130	45545422	"0,255,255"	183	chr21-chr21-1003	0.0	14.111566858080394	253918.5	5.56397306469	142.608786497	77.7014710171
chr21	45541372	45543709	chr21	45637108	45645083	"0,255,255"	65	chr21-chr21-1059	0.0	6.6027088036117378	98555.0	7.18053581251	50.7938712317	61.0627042446
chr21	45540377	45543580	chr21	45622634	45629138	"0,255,255"	49	chr21-chr21-1060	0.0	5.3857758620689653	83907.5	5.31974956286	32.0976416284	45.4752131156
chr21	45541419	45543158	chr21	45816230	45820862	"0,255,255"	47	chr21-chr21-1061	0.0	10.28125	276257.5	7.65076195551	46.9136417751	48.339943128
chr21	45541367	45543450	chr21	45649042	45654083	"0,255,255"	40	chr21-chr21-1062	0.0	7.323943661971831	109154.0	9.30635425141	35.678369749	37.207717319
chr21	46283377	46288375	chr21	46366795	46379206	"0,255,255"	124	chr21-chr21-1076	0.0	15.039999999999999	87124.5	5.3948862754	100.242454833	111.211184373
chr21	46285639	46287471	chr21	46397274	46402084	"0,255,255"	37	chr21-chr21-1080	0.0	13.195804195804197	113124.0	7.08626710458	37.9957029192	38.5929955858
chr21	46284412	46286908	chr21	46638416	46644697	"0,255,255"	44	chr21-chr21-1081	0.0	7.3530997304582213	355896.5	5.38577224926	30.9460878366	35.6606932104
chr21	46319219	46327264	chr21	46448700	46461986	"0,255,255"	288	chr21-chr21-1086	0.0	15.190527448869753	132101.5	6.83231139213	227.412312649	222.529880644
chr21	24270298	24273368	chr21	24321739	24325013	"0,255,255"	31	chr21-chr21-1115	0.0	5.8125	51543.0	7.82668245274	28.2599333076	47.8837184842
chr21	24588228	24591877	chr21	24713353	24716734	"0,255,255"	32	chr21-chr21-1116	0.0	4.9357326478149099	124991.0	8.73290753942	18.1769427291	46.7591354491
chr21	28929667	28934165	chr21	29071888	29074115	"0,255,255"	30	chr21-chr21-1122	0.0	6.9090909090909092	141085.5	8.29150358699	26.5920166493	24.9910462371
chr21	28960707	28964447	chr21	29072215	29074309	"0,255,255"	31	chr21-chr21-1123	0.0	8.0172413793103452	110685.0	7.53456528429	32.4045886282	26.8295344617
chr21	32324798	32329989	chr21	32393152	32393642	"0,255,255"	34	chr21-chr21-1129	0.0	22.275862068965516	66003.5	10.6458901538	56.8709654859	41.1328970921
chr21	33980031	33983762	chr21	34201257	34204774	"0,255,255"	34	chr21-chr21-1137	0.0	6.508571428571428	221119.0	5.01177523641	21.4462713542	29.5777899713
chr21	34073669	34074537	chr21	34121804	34126027	"0,255,255"	33	chr21-chr21-1139	0.0	15.566037735849056	49812.5	7.59187421013	46.2609379667	39.7834800749
chr21	37268123	37269505	chr21	37388969	37392890	"0,255,255"	31	chr21-chr21-1158	0.0	12.710000000000001	122115.5	7.38084814434	34.335541608	33.4168779541
chr21	41878438	41880881	chr21	42104754	42107882	"0,255,255"	37	chr21-chr21-1168	0.0	6.7565217391304344	226658.5	7.01714086302	30.726614783	35.6922029092
chr21	41953341	41954619	chr21	41978789	41983015	"0,255,255"	33	chr21-chr21-1169	0.0	12.442622950819674	26922.0	6.87421523279	34.6027976903	47.0728863165
chr21	42307883	42312597	chr21	42368790	42372318	"0,255,255"	33	chr21-chr21-1171	0.0	6.3844221105527641	60314.0	8.52758125581	18.8171828313	34.8302568437
chr21	43767916	43768878	chr21	44078195	44083000	"0,255,255"	31	chr21-chr21-1179	0.0	13.08888888888889	312200.5	6.57718198603	44.8547184166	9.44100743782
chr21	44009915	44013727	chr21	44090051	44093342	"0,255,255"	37	chr21-chr21-1186	0.0	4.2099358974358969	79875.5	5.82040416836	16.349422235	46.2890050782
chr21	45147268	45152340	chr21	45554879	45556065	"0,255,255"	35	chr21-chr21-1187	0.0	4.8326359832635983	405668.0	6.67782514785	27.7784948334	15.8188002473
chr21	18729457	18735648	chr21	18757730	18760441	"0,255,255"	54	chr21-chr21-119	0.0	6.1534883720930234	26533.0	5.24503839576	38.9881884014	92.4953524307
chr21	45255547	45258395	chr21	45445806	45449398	"0,255,255"	34	chr21-chr21-1190	0.0	7.8807947019867557	190631.0	6.28912777634	33.0216045698	22.0131567479
chr21	45406938	45412162	chr21	45489399	45492630	"0,255,255"	52	chr21-chr21-1194	0.0	7.1062906724511929	81464.5	8.4516183062	35.3568500497	35.878597622
chr21	46334603	46338178	chr21	46634320	46636316	"0,255,255"	33	chr21-chr21-1199	0.0	9.8297872340425538	298927.5	5.46143559832	32.6084387451	30.1802127698
chr21	46425389	46428431	chr21	46455996	46458474	"0,255,255"	33	chr21-chr21-1200	0.0	8.1414473684210513	30325.0	5.76225038355	22.2835529647	51.560111862
chr21	14274168	14278406	chr21	14382741	14384650	"0,255,255"	37	chr21-chr21-1216	0.0	10.257425742574258	107408.5	5.53459681665	43.4057924839	44.0052953321
chr21	14501036	14506376	chr21	14541971	14545054	"0,255,255"	31	chr21-chr21-1252	0.0	3.5538674033149169	39806.5	5.36293354611	10.297101281	36.7397689246
chr21	14514043	14551289	chr21	14746187	14764438	"0,255,255"	1059	chr21-chr21-1255	0.0	5.8238529052327523	222646.5	31.2584582414	300.0	300.0
chr21	14991454	15005722	chr21	15059737	15065978	"0,255,255"	189	chr21-chr21-1318	0.0	12.427023121387284	64269.5	6.96493570323	140.010218541	219.623859712
chr21	20257068	20260734	chr21	20341821	20346308	"0,255,255"	45	chr21-chr21-135	0.0	6.3829787234042552	85163.5	10.4597702447	29.6877615565	69.2469791609
chr21	20269138	20270830	chr21	20283843	20285880	"0,255,255"	35	chr21-chr21-1377	0.0	10.161290322580644	14877.5	14.3807049534	47.5422450203	53.4513521663
chr21	24711617	24717135	chr21	24858537	24864634	"0,255,255"	49	chr21-chr21-1403	0.0	6.5670103092783503	147209.5	8.78208080124	35.5813920619	61.6445494889
chr21	24713130	24717093	chr21	24922580	24926987	"0,255,255"	31	chr21-chr21-1405	0.0	6.9033613445378146	209672.0	7.54537976902	23.2412761808	45.590476943
chr21	25596435	25613026	chr21	25726521	25738817	"0,255,255"	267	chr21-chr21-1412	0.0	15.052961275626425	127938.5	6.30881356422	208.843104571	297.006081637
chr21	28878258	28888384	chr21	29016970	29028982	"0,255,255"	239	chr21-chr21-1426	0.0	11.214076246334312	139655.0	5.14047928336	161.769695187	134.6968842
chr21	28921155	28927796	chr21	28991810	28995411	"0,255,255"	40	chr21-chr21-1434	0.0	4.2201834862385326	69135.0	6.50052552689	18.0537177871	37.2267295933
chr21	29023849	29028533	chr21	29373902	29378879	"0,255,255"	33	chr21-chr21-1458	0.0	6.3931623931623927	350199.5	8.83562394714	20.4207652213	25.4844578655
chr21	29071340	29076373	chr21	29344096	29367792	"0,255,255"	214	chr21-chr21-1462	0.0	23.096916299559471	282087.5	16.9542177299	206.228280596	179.212613497
chr21	29071621	29076328	chr21	29368001	29387177	"0,255,255"	147	chr21-chr21-1464	0.0	17.688796680497926	303614.5	10.3067698004	133.062229643	118.951809252
chr21	29071589	29076065	chr21	29123634	29133368	"0,255,255"	64	chr21-chr21-1465	0.0	16.827586206896552	54674.0	7.15064987843	66.703973688	59.4503150926
chr21	29073092	29074157	chr21	29280884	29287983	"0,255,255"	41	chr21-chr21-1468	0.0	21.638888888888889	210809.0	6.26569439393	67.8686345917	36.8884200507
chr21	29099328	29101795	chr21	29372680	29378895	"0,255,255"	33	chr21-chr21-1473	0.0	11.982142857142858	275226.0	6.99300401674	30.2111198835	39.7020989475
