chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	41856299	41857398	chr5	42056828	42058139	"0,255,255"	67	chr5-chr5-0	0.0	20.709090909090907	200635.0	17.8129461501	92.2592819218	187.266860292
chr5	42994413	42995564	chr5	43039941	43041699	"0,255,255"	36	chr5-chr5-1	0.0	13.440000000000001	45831.5	15.4464556336	46.385161697	90.9294185693
chr5	55324535	55325230	chr5	55691353	55692680	"0,255,255"	21	chr5-chr5-100	0.0	12.075000000000001	367134.0	5.14832653622	28.2308394121	56.6391633039
chr5	135462303	135462502	chr5	135830259	135830380	"0,255,255"	5	chr5-chr5-1001	0.0	4.2857142857142856	367917.0	5.56050542289	7.87900369691	13.9859597297
chr5	133111341	133111961	chr5	133260540	133260904	"0,255,255"	8	chr5-chr5-1002	0.0	4.0	149071.0	6.88569846574	9.95096288784	25.5735203522
chr5	135887167	135887748	chr5	136062552	136062911	"0,255,255"	18	chr5-chr5-1003	0.0	9.5999999999999996	175274.0	10.7555961275	30.6984016561	42.9957599157
chr5	137660383	137660743	chr5	138133471	138133884	"0,255,255"	10	chr5-chr5-1006	0.0	5.0	473114.5	6.6372307905	14.5816947693	18.3760498398
chr5	133773038	133773753	chr5	133869257	133869726	"0,255,255"	9	chr5-chr5-1010	0.0	4.8461538461538458	96096.0	9.00348402631	13.5850551166	29.3595607498
chr5	137320208	137321441	chr5	137498658	137499498	"0,255,255"	33	chr5-chr5-1013	0.0	12.047619047619047	178253.5	5.97552336085	43.8259347815	100.478461775
chr5	134039144	134040434	chr5	134289360	134290160	"0,255,255"	26	chr5-chr5-1016	0.0	10.173913043478262	249971.0	5.62413912158	35.5662326674	39.8919506815
chr5	54243469	54244756	chr5	54489477	54489685	"0,255,255"	17	chr5-chr5-102	0.0	17.0	245468.5	15.5186138696	40.4523116551	45.8306305787
chr5	139786855	139788826	chr5	139842951	139845272	"0,255,255"	102	chr5-chr5-1020	0.0	22.082474226804127	56271.0	11.586155197	133.461423649	223.668667553
chr5	130871404	130872584	chr5	131109554	131110374	"0,255,255"	28	chr5-chr5-1022	0.0	8.6545454545454543	237970.0	11.2311550925	36.9845371511	74.5796106722
chr5	138180367	138180930	chr5	138449939	138450366	"0,255,255"	10	chr5-chr5-1023	0.0	5.454545454545455	269504.0	5.20619251079	13.2223220649	24.734724179
chr5	134026689	134027247	chr5	134289648	134290006	"0,255,255"	6	chr5-chr5-1026	0.0	3.333333333333333	262859.0	5.56885068128	9.16535310649	13.4116145867
chr5	54516861	54518061	chr5	54844688	54846630	"0,255,255"	80	chr5-chr5-103	0.0	19.310344827586206	328198.0	28.8807931311	124.06633446	226.213233476
chr5	137779034	137779959	chr5	137822178	137822796	"0,255,255"	16	chr5-chr5-1036	0.0	7.1578947368421053	42990.5	7.10564465014	20.199308601	43.8908581899
chr5	134738411	134738562	chr5	134758210	134759222	"0,255,255"	7	chr5-chr5-1037	0.0	inf	20229.5	300.0	300.0	22.2690424784
chr5	136064282	136064805	chr5	136174124	136174484	"0,255,255"	6	chr5-chr5-1039	0.0	3.2727272727272729	109760.5	5.13035182475	8.64988369929	18.7349823926
chr5	138449809	138450127	chr5	138464005	138464667	"0,255,255"	7	chr5-chr5-1047	0.0	4.454545454545455	14368.0	7.33002994254	10.4544504766	18.9098548796
chr5	59813611	59814446	chr5	60668299	60669621	"0,255,255"	25	chr5-chr5-105	0.0	11.413043478260869	854931.5	6.31670700451	33.8137280978	55.0767741192
chr5	137629612	137630103	chr5	137822235	137822515	"0,255,255"	7	chr5-chr5-1052	0.0	5.5999999999999996	192517.5	5.1107365628	10.7404047817	17.5303453896
chr5	134026554	134027282	chr5	134145828	134146527	"0,255,255"	10	chr5-chr5-1056	0.0	5.0	119259.5	7.02883909219	14.5816947693	22.4624232247
chr5	133423958	133424507	chr5	133869156	133869353	"0,255,255"	6	chr5-chr5-1059	0.0	5.333333333333333	445022.0	5.73321253094	9.16535310649	15.9289027589
chr5	59809441	59810735	chr5	60668386	60669117	"0,255,255"	20	chr5-chr5-106	0.0	7.7272727272727266	858663.5	6.14067004075	25.698973482	47.2876086533
chr5	132591678	132592294	chr5	132714841	132714933	"0,255,255"	6	chr5-chr5-1069	0.0	6.0	122901.0	6.91821082704	11.2598573158	22.9481345138
chr5	57298187	57299754	chr5	58460105	58461889	"0,255,255"	42	chr5-chr5-107	0.0	6.4892703862660941	1162026.5	9.27306024586	36.7064736187	86.2761324567
chr5	138035563	138036444	chr5	138042066	138042284	"0,255,255"	6	chr5-chr5-1075	0.0	3.75	6171.5	6.60404182361	9.46855140564	16.7547758528
chr5	137751371	137752229	chr5	138068838	138069004	"0,255,255"	7	chr5-chr5-1076	0.0	inf	317121.0	300.0	300.0	16.1462413007
chr5	50962485	50963783	chr5	52656697	52657705	"0,255,255"	30	chr5-chr5-108	0.0	8.3076923076923084	1694067.0	11.9082216477	38.3093539992	71.7892026946
chr5	134132195	134132812	chr5	134138050	134139427	"0,255,255"	16	chr5-chr5-1081	0.0	9.5999999999999996	6235.0	7.69476316573	18.3413038013	41.3757261075
chr5	137751801	137752507	chr5	138133585	138133693	"0,255,255"	6	chr5-chr5-1085	0.0	inf	381485.0	300.0	300.0	14.109275505
chr5	139419957	139421309	chr5	139513679	139513891	"0,255,255"	9	chr5-chr5-1087	0.01	3.3559322033898309	93152.0	5.51819597171	7.85207024565	26.4269114458
chr5	56900772	56901756	chr5	57137689	57138695	"0,255,255"	24	chr5-chr5-109	0.0	9.882352941176471	236928.0	5.24382142852	31.0235676274	56.5241820732
chr5	139251410	139251841	chr5	139368785	139369174	"0,255,255"	6	chr5-chr5-1093	0.0	3.6923076923076925	117354.0	5.56882401153	8.22200863774	20.9125628689
chr5	139670571	139671180	chr5	139689827	139690230	"0,255,255"	6	chr5-chr5-1096	0.0	4.5	19153.0	6.68671524629	9.46855140564	16.069340351
chr5	138223006	138223373	chr5	138352471	138352566	"0,255,255"	6	chr5-chr5-1098	0.0	inf	129329.0	300.0	300.0	18.0404076378
chr5	135462144	135462510	chr5	135565935	135566495	"0,255,255"	10	chr5-chr5-1102	0.0	7.1428571428571432	103888.0	8.75645004578	18.1364122048	25.8639127636
chr5	130870507	130870710	chr5	131110106	131110255	"0,255,255"	5	chr5-chr5-1107	0.0	3.3333333333333335	239572.0	6.92075847574	8.21012415589	17.6721001024
chr5	56900511	56901621	chr5	57220144	57221822	"0,255,255"	33	chr5-chr5-111	0.0	17.553191489361701	319917.0	7.02198594682	47.9575318522	77.7386086547
chr5	132385505	132385601	chr5	132820247	132820406	"0,255,255"	5	chr5-chr5-1110	0.0	3.5714285714285716	434773.5	6.40580220744	7.87900369691	11.4845978144
