chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	1167544	1171488	chr5	1638433	1652611	"0,255,255"	31	chr5-chr5-0	0.0	15.706666666666667	476006.0	12.3912566755	38.1035510672	81.4655473185
chr5	127751198	127764608	chr5	128195240	128206427	"0,255,255"	22	chr5-chr5-1002	0.0	8.3368421052631572	442930.5	8.55913187231	15.7060460569	40.0708855419
chr5	150452138	150464366	chr5	150535935	150550397	"0,255,255"	61	chr5-chr5-107	0.0	5.7223264540337713	84914.0	11.8740991321	25.560251497	128.050735999
chr5	151046230	151058114	chr5	151155879	151166809	"0,255,255"	38	chr5-chr5-113	0.0	5.4684287812041115	109172.0	6.26673916671	15.9336070139	68.6671988747
chr5	141355136	141363648	chr5	141557147	141566183	"0,255,255"	20	chr5-chr5-1157	0.0	6.5891472868217056	202273.0	6.72326167531	11.2176580364	39.7537707941
chr5	142707076	142723019	chr5	142875813	142893740	"0,255,255"	47	chr5-chr5-1177	0.0	3.8398692810457518	169729.0	7.34928778638	13.4758673363	83.1275664144
chr5	143203488	143220826	chr5	143389180	143407331	"0,255,255"	48	chr5-chr5-1196	0.0	4.395604395604396	186098.5	8.96080126854	15.8929148901	76.6734880183
chr5	148731334	148746318	chr5	149026610	149041743	"0,255,255"	31	chr5-chr5-1214	0.0	6.1610878661087867	295350.5	8.96872592787	14.8588196128	58.3790039648
chr5	154459197	154474109	chr5	154599027	154618492	"0,255,255"	87	chr5-chr5-126	0.0	5.6751467710371823	142106.5	14.2485194608	35.7564749159	161.727059105
chr5	151438312	151452532	chr5	151642633	151665152	"0,255,255"	50	chr5-chr5-1272	0.0	7.2794117647058822	208470.5	7.4061230828	25.7488790205	76.1136907897
chr5	151821106	151834464	chr5	152135146	152149914	"0,255,255"	30	chr5-chr5-1285	0.0	7.4811083123425686	314745.0	6.53433605652	16.1248655726	55.8472116242
chr5	157141323	157154064	chr5	157306832	157319018	"0,255,255"	52	chr5-chr5-132	0.0	9.4823529411764707	165231.5	17.6650457571	33.2840511657	98.3718516938
