chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	112166048	112180848	chr5	112413531	112428901	"0,255,255"	70	chr5-chr5-10037	0.0	3.1097290093291869	247768.0	12.5007996823	15.0237424722	109.959867604
chr5	115300823	115316487	chr5	115555123	115572039	"0,255,255"	79	chr5-chr5-10110	0.0	2.2526375819788993	254926.0	13.4528253122	9.88496395981	139.028324571
chr5	180933517	180948553	chr5	181003693	181019211	"0,255,255"	300	chr5-chr5-1017	0.0	4.0540540540540544	70417.0	100.220382062	180.192060108	300.0
chr5	121956874	121968553	chr5	122089770	122114753	"0,255,255"	112	chr5-chr5-10216	0.0	3.2558139534883721	139548.0	5.22866950582	24.9837033798	168.596359214
chr5	121972339	121986401	chr5	122153318	122164994	"0,255,255"	58	chr5-chr5-10217	0.0	2.4349286314021832	179786.0	5.10328224141	8.63201689297	91.9914330232
chr5	127556219	127571744	chr5	128195975	128207290	"0,255,255"	55	chr5-chr5-10356	0.0	5.2732502396931933	637651.0	10.4440722189	21.5386183426	89.0229308827
chr5	136242387	136254989	chr5	136765892	136780690	"0,255,255"	73	chr5-chr5-10657	0.0	4.3582089552238807	524603.0	13.6354176062	23.4607007774	120.176022956
chr5	137332740	137351816	chr5	137486471	137511521	"0,255,255"	148	chr5-chr5-10698	0.0	2.6748599313211638	156718.0	12.278240198	24.2783539728	243.538744687
chr5	143016161	143030281	chr5	143395791	143407753	"0,255,255"	63	chr5-chr5-10967	0.0	3.180212014134276	378551.0	5.69857315664	14.0373313172	90.4044158388
chr5	145685842	145701675	chr5	145878061	145891662	"0,255,255"	86	chr5-chr5-11025	0.0	2.0432406747445948	191103.0	7.30226686968	8.70126710923	130.794037616
chr5	145685896	145699191	chr5	146047914	146064005	"0,255,255"	81	chr5-chr5-11026	0.0	3.1603589543503707	363416.0	5.02849861004	17.6238303836	102.669005012
chr5	146535838	146551047	chr5	146951953	146974029	"0,255,255"	110	chr5-chr5-11064	0.0	5.2356020942408374	419548.5	18.5070035774	41.7676596118	181.837847718
chr5	148767954	148783839	chr5	148903597	148915636	"0,255,255"	78	chr5-chr5-11107	0.0	2.9467321496033247	133720.0	5.65664608872	15.3990941874	122.672111889
chr5	150461835	150475914	chr5	150769260	150785321	"0,255,255"	68	chr5-chr5-11186	0.0	2.3918396060499472	308416.0	10.1130722037	9.65686838574	86.7292923068
chr5	154638566	154652213	chr5	155004823	155018823	"0,255,255"	71	chr5-chr5-11299	0.0	2.6904130352406215	366433.5	6.1542681401	12.272138221	90.8962326949
chr5	159440031	159454858	chr5	159970141	159991987	"0,255,255"	102	chr5-chr5-11414	0.0	2.9522431259044866	533619.5	11.4163280444	19.8896726117	146.546114765
chr5	172704863	172717865	chr5	173144558	173158261	"0,255,255"	55	chr5-chr5-11625	0.0	2.911593435680254	440045.5	8.0594416513	10.937938175	65.2756290052
chr5	173612768	173623276	chr5	174302679	174323623	"0,255,255"	73	chr5-chr5-11670	0.0	4.0645879732739418	695129.0	10.7186243024	21.7657348995	92.6738185293
chr5	174409313	174425631	chr5	174728525	174739621	"0,255,255"	54	chr5-chr5-11716	0.0	2.0563594821020561	316601.0	5.15735786189	5.85001614222	88.022929465
chr5	179162151	179185770	chr5	179482116	179510358	"0,255,255"	211	chr5-chr5-11920	0.0	3.0276940737552018	322276.5	22.5854744043	41.5332622933	300.0
chr5	10691047	10706521	chr5	10850354	10863551	"0,255,255"	122	chr5-chr5-1196	0.0	2.0370679579228588	158168.5	5.59213360707	11.8804156881	169.451399744
chr5	900052	919711	chr5	1161905	1181637	"0,255,255"	148	chr5-chr5-12038	0.0	2.7241651327899028	261889.5	14.3379471424	40.9374945523	237.676799408
chr5	34517136	34537166	chr5	34894708	34906909	"0,255,255"	184	chr5-chr5-121	0.0	2.2857142857142856	373657.5	18.5504895611	22.3955518012	292.112761135
chr5	5131582	5148215	chr5	5387664	5401097	"0,255,255"	82	chr5-chr5-12100	0.0	2.972091337441102	254482.0	9.07314640665	16.3433263842	131.020070491
chr5	10298283	10308480	chr5	10588436	10600179	"0,255,255"	54	chr5-chr5-12178	0.0	2.5471698113207548	290926.0	6.67749120707	8.73966001557	62.6455171412
chr5	14352056	14372915	chr5	14638807	14660388	"0,255,255"	172	chr5-chr5-12229	0.0	3.0033176182992838	287112.0	23.8313031207	33.6638782801	256.759643823
chr5	31571147	31591455	chr5	31793455	31816847	"0,255,255"	160	chr5-chr5-12308	0.0	2.4161884627000907	223850.0	19.085653769	21.8453371444	226.236596329
chr5	14719994	14736816	chr5	15008198	15020744	"0,255,255"	143	chr5-chr5-1240	0.0	3.5732133933033481	286066.0	22.913855355	35.6998209204	227.969811357
chr5	36071138	36084835	chr5	36396576	36409886	"0,255,255"	72	chr5-chr5-12431	0.0	3.0201342281879193	325244.5	8.03635109998	14.8041514715	99.1884198343
chr5	36399464	36427518	chr5	36682314	36701885	"0,255,255"	174	chr5-chr5-12451	0.0	2.9809833818742506	278608.5	15.4083151276	33.6650455166	218.850158474
chr5	36732607	36748545	chr5	36939188	36955121	"0,255,255"	98	chr5-chr5-12467	0.0	2.6754026754026752	206578.5	7.73820789626	16.4273506679	139.464845061
chr5	41852548	41864877	chr5	41995951	42012288	"0,255,255"	77	chr5-chr5-12604	0.0	2.6172671651937458	145407.0	6.20950604888	12.6496747423	120.176714467
chr5	60667078	60680013	chr5	60929462	60944787	"0,255,255"	81	chr5-chr5-12793	0.0	2.5383892196803508	263579.0	6.09667653683	12.5914552336	125.902447133
chr5	64626718	64639472	chr5	64781877	64793771	"0,255,255"	68	chr5-chr5-12854	0.0	3.3563672260612041	154729.0	13.2929532109	16.1918604354	128.570345175
chr5	66977221	66993353	chr5	67150213	67166896	"0,255,255"	99	chr5-chr5-12903	0.0	2.2685609532538953	173267.5	5.1549218152	12.3274665876	158.45120741
chr5	73897546	73909472	chr5	74646600	74657756	"0,255,255"	60	chr5-chr5-13025	0.0	4.3041606886657107	748669.0	10.562482246	19.2063970193	97.008398893
chr5	81496734	81513015	chr5	81840133	81857136	"0,255,255"	90	chr5-chr5-13272	0.0	2.7898326100433977	343760.0	8.07640676148	16.2137566294	127.780560518
chr5	90444805	90463453	chr5	90596277	90612382	"0,255,255"	108	chr5-chr5-13347	0.0	2.0018535681186282	150200.5	7.31974996709	10.2041352881	165.937561812
chr5	96861877	96883650	chr5	97036659	97059174	"0,255,255"	189	chr5-chr5-13435	0.0	2.1002333592621403	175153.0	5.96451864169	19.169662589	268.827245604
chr5	118982997	119000043	chr5	119405052	119420177	"0,255,255"	113	chr5-chr5-13570	0.0	2.4950320158975492	421094.5	9.86275756305	16.6711779192	160.447068233
chr5	132272892	132306516	chr5	132485385	132504978	"0,255,255"	263	chr5-chr5-13736	0.0	2.3891715116279069	205477.5	9.59810910139	34.4424570667	300.0
chr5	132520152	132537615	chr5	132862883	132896963	"0,255,255"	229	chr5-chr5-13744	0.0	3.4839494903392665	351039.5	25.97503368	54.6604881937	291.871613413
chr5	140361687	140379776	chr5	140636240	140651986	"0,255,255"	121	chr5-chr5-13952	0.0	2.5025853154084796	273381.5	7.83217120971	17.8766349216	156.094921874
chr5	148474938	148496492	chr5	148677497	148704652	"0,255,255"	221	chr5-chr5-14114	0.0	2.0029001268805509	205359.5	8.8741484713	19.8825211381	300.0
chr5	148730236	148747969	chr5	149104117	149118024	"0,255,255"	85	chr5-chr5-14127	0.0	3.6386986301369864	371968.0	16.3917010458	22.1377642516	127.021889332
chr5	151007710	151029912	chr5	151227710	151254107	"0,255,255"	222	chr5-chr5-14219	0.0	2.2030366180410836	222097.5	6.34397665931	24.8138928893	259.274362594
chr5	153972214	153987122	chr5	154411418	154428879	"0,255,255"	82	chr5-chr5-14247	0.0	2.8782028782028783	440480.5	11.1824346225	15.5840623182	109.684034633
chr5	154641042	154656113	chr5	154987911	155001891	"0,255,255"	81	chr5-chr5-14270	0.0	2.7645051194539247	346323.5	8.0160966784	14.4813235972	106.640165867
chr5	157754693	157767607	chr5	157983421	157996208	"0,255,255"	63	chr5-chr5-14307	0.0	2.7308192457737319	228664.5	7.84681890714	11.2523056633	97.4565265137
chr5	36732291	36750274	chr5	36867354	36880465	"0,255,255"	132	chr5-chr5-1444	0.0	2.3550401427297056	132627.0	8.38581219959	17.3427879626	200.633924129
chr5	174040905	174059959	chr5	174302599	174315698	"0,255,255"	97	chr5-chr5-14568	0.0	2.3051330798479088	258716.5	10.4209661526	12.4816312447	159.235260837
chr5	176646904	176675135	chr5	176879045	176904418	"0,255,255"	267	chr5-chr5-14631	0.0	2.041752695572379	230712.0	7.0450090861	24.9301301473	300.0
chr5	176658288	176673023	chr5	176944234	176959913	"0,255,255"	86	chr5-chr5-14636	0.0	2.1989261058552798	286418.0	8.01110381213	10.1766566833	120.602921961
chr5	13982040	13997105	chr5	14355472	14371910	"0,255,255"	68	chr5-chr5-15054	0.0	2.8571428571428572	374118.5	9.95631987786	12.9413794125	97.9192847998
chr5	38410433	38423452	chr5	38805107	38814484	"0,255,255"	89	chr5-chr5-1515	0.0	3.3122441384443615	392853.0	8.16629543383	20.529202085	132.263027548
chr5	33983796	33997844	chr5	34458819	34472579	"0,255,255"	68	chr5-chr5-15235	0.0	3.1192660550458715	474879.0	7.92449682204	16.8674387498	92.0930794059
chr5	35084724	35097944	chr5	35918055	35928341	"0,255,255"	54	chr5-chr5-15297	0.0	4.3902439024390238	831864.0	8.17754061285	17.7409580653	83.5249208887
chr5	38662777	38677590	chr5	38803363	38813993	"0,255,255"	105	chr5-chr5-1530	0.0	2.9686174724342664	138494.5	6.85344728768	20.6129770269	151.881357229
chr5	37401825	37421191	chr5	37749217	37772643	"0,255,255"	142	chr5-chr5-15358	0.0	2.3978385680513341	349422.0	7.22311595048	19.2282942297	181.86060926
chr5	37409110	37423063	chr5	38189073	38203302	"0,255,255"	58	chr5-chr5-15361	0.0	5.0655021834061138	780101.0	13.6277561062	21.8398359947	74.1522256231
chr5	37836886	37849722	chr5	38182313	38203601	"0,255,255"	88	chr5-chr5-15378	0.0	2.6066350710900474	349653.0	7.04172116232	14.2252735406	122.496480769
chr5	38256261	38272044	chr5	38802598	38819232	"0,255,255"	76	chr5-chr5-15399	0.0	3.5464302379841346	546762.5	9.73866017741	19.2838295107	92.5836688979
chr5	52941665	52957562	chr5	53088766	53105074	"0,255,255"	71	chr5-chr5-15558	0.0	2.5604038946988821	147306.5	8.29490889757	11.3142180474	121.401225555
chr5	54929354	54949424	chr5	55133809	55151926	"0,255,255"	104	chr5-chr5-15639	0.0	2.011605415860735	203478.5	10.8861712429	9.9719925792	171.140218794
chr5	54930243	54948382	chr5	55152697	55169440	"0,255,255"	90	chr5-chr5-15641	0.0	2.5706940874035991	221756.0	6.74674292783	14.1901455184	136.58869976
chr5	55166645	55180117	chr5	55683119	55694770	"0,255,255"	50	chr5-chr5-15653	0.0	3.4674063800277395	515563.5	12.0656057534	12.6542643593	79.7178025142
chr5	66802879	66816341	chr5	67204642	67219528	"0,255,255"	62	chr5-chr5-15891	0.0	3.9092055485498109	402475.0	10.6646064846	17.8418082026	99.3974309449
chr5	76779613	76792470	chr5	77009166	77022661	"0,255,255"	55	chr5-chr5-16138	0.0	2.9617662897145935	229872.0	5.01168122458	11.2107035767	73.8012546217
chr5	78464024	78474717	chr5	78604712	78617600	"0,255,255"	53	chr5-chr5-16195	0.0	3.0831878999418265	141785.5	5.45634602093	11.4620498506	79.3729168377
chr5	39142257	39154447	chr5	39274397	39287143	"0,255,255"	130	chr5-chr5-165	0.0	3.1242489786109107	132418.0	14.7891115375	27.2207015414	216.075585762
chr5	95546336	95564165	chr5	95834889	95856511	"0,255,255"	100	chr5-chr5-16504	0.0	2.5706940874035991	290449.5	6.69141365884	15.6594863528	124.873243947
chr5	96599205	96615918	chr5	96735860	96749853	"0,255,255"	70	chr5-chr5-16540	0.0	2.4665257223396759	135295.0	5.08805871925	10.4737176303	99.728221337
chr5	39369691	39377788	chr5	39548330	39557223	"0,255,255"	68	chr5-chr5-170	0.0	2.9603831084022638	179037.0	5.29760463848	13.6369377344	115.441619002
chr5	134033869	134050043	chr5	134277670	134293266	"0,255,255"	81	chr5-chr5-17060	0.0	2.2836199605300256	243512.0	8.17175957006	10.3856922332	106.540730453
chr5	137989888	138002231	chr5	138171904	138183726	"0,255,255"	54	chr5-chr5-17211	0.0	3.3707865168539328	181755.5	5.9504652646	13.1206842871	71.1909896206
chr5	141237403	141248601	chr5	141552296	141564551	"0,255,255"	57	chr5-chr5-17325	0.0	3.0303030303030307	315421.5	8.44179711198	11.9680385562	92.6007684546
chr5	56900009	56913851	chr5	57133988	57145979	"0,255,255"	101	chr5-chr5-1737	0.0	2.5498611461752083	233053.5	8.36246599317	15.5865999506	160.791789445
chr5	40747648	40759475	chr5	40872719	40889236	"0,255,255"	162	chr5-chr5-174	0.0	2.8536198696494628	127416.0	7.18653769844	29.3922371736	254.155390218
chr5	143016517	143032867	chr5	143216033	143241122	"0,255,255"	129	chr5-chr5-17402	0.0	2.2707269846857945	203885.5	5.48729844912	15.8006614714	168.395050239
chr5	56976300	56984808	chr5	57086582	57094129	"0,255,255"	51	chr5-chr5-1742	0.0	2.9633933759442184	109801.5	5.37136101929	10.4673959835	89.7755660919
chr5	148731316	148746916	chr5	149256654	149273069	"0,255,255"	60	chr5-chr5-17526	0.0	3.0832476875642341	525745.5	7.33058027151	12.8575937224	70.5409080702
chr5	150449885	150466062	chr5	150842247	150857432	"0,255,255"	62	chr5-chr5-17579	0.0	3.09535696455317	391866.0	8.6178352245	13.3278438708	73.3082631109
chr5	154061938	154079960	chr5	154598496	154615873	"0,255,255"	86	chr5-chr5-17654	0.0	2.4198086662915026	536235.5	7.73355917543	12.2316360697	100.253643484
chr5	154065455	154078112	chr5	154324645	154338226	"0,255,255"	54	chr5-chr5-17655	0.0	2.25	259652.0	5.07315010098	7.01029561563	71.2831149594
chr5	164193159	164202638	chr5	164337507	164349424	"0,255,255"	50	chr5-chr5-17816	0.0	3.7257824143070044	145567.0	5.47782159634	13.7920994207	80.6239050417
chr5	169695462	169707119	chr5	169979743	169992088	"0,255,255"	54	chr5-chr5-17868	0.0	2.3778071334214004	284625.0	6.23222750737	7.76271838987	79.9911702261
chr5	173328941	173359040	chr5	173554087	173586794	"0,255,255"	258	chr5-chr5-17985	0.0	2.2218394764037201	226450.0	13.0068733595	29.1819649896	300.0
chr5	176811677	176826316	chr5	177102623	177117991	"0,255,255"	71	chr5-chr5-18146	0.0	2.3627287853577372	291310.5	6.24092390093	9.82155065722	91.8375250623
chr5	1193529	1221899	chr5	1626448	1656241	"0,255,255"	176	chr5-chr5-18328	0.0	2.76632902549773	433630.5	20.1253767607	35.6131345318	263.854092477
chr5	1224881	1256660	chr5	1632273	1658150	"0,255,255"	179	chr5-chr5-18329	0.0	2.6223263990624082	404441.0	14.4728913192	28.1706909061	265.966995457
chr5	1263879	1281697	chr5	1628745	1653009	"0,255,255"	107	chr5-chr5-18330	0.0	2.9091897770527462	368089.0	11.5589501596	20.3617867039	169.752109429
chr5	1668955	1686951	chr5	2005998	2022474	"0,255,255"	73	chr5-chr5-18334	0.0	3.1290184312044582	336283.0	7.50075012562	15.7613434635	105.539355043
chr5	1691463	1709795	chr5	2139438	2153356	"0,255,255"	59	chr5-chr5-18336	0.0	3.5119047619047619	445768.0	5.0777459413	15.0033006005	78.0950478077
chr5	42903866	42913894	chr5	43065198	43075586	"0,255,255"	86	chr5-chr5-184	0.0	2.8666666666666667	161512.0	5.2677876051	16.1983898026	118.525085768
chr5	6805261	6819379	chr5	7745737	7762170	"0,255,255"	54	chr5-chr5-18480	0.0	2.7300303336703742	941633.5	5.13134294441	9.76619656838	69.546272606
chr5	36057687	36075571	chr5	36488929	36514599	"0,255,255"	94	chr5-chr5-18875	0.0	2.49933528316937	435135.0	6.01783110519	14.0746639638	107.010979885
chr5	36254954	36270920	chr5	36687949	36703312	"0,255,255"	55	chr5-chr5-18890	0.0	3.0386740331491708	432693.5	6.45442959261	11.6242088356	65.0509618189
chr5	37397454	37439791	chr5	37789206	37823768	"0,255,255"	318	chr5-chr5-18935	0.0	2.2988505747126435	387864.5	18.4443679122	38.3350240383	300.0
chr5	37759799	37780081	chr5	38185371	38203801	"0,255,255"	75	chr5-chr5-18957	0.0	2.5295109612141653	424646.0	8.54672284811	11.6570366641	91.408852028
chr5	39575404	39587652	chr5	40668566	40685353	"0,255,255"	57	chr5-chr5-19026	0.0	3.45873786407767	1095431.5	11.1077901323	14.2543085789	85.4123942343
chr5	41857115	41874576	chr5	42868446	42886223	"0,255,255"	64	chr5-chr5-19075	0.0	2.5942440210782327	1011489.0	5.05400958312	10.5136987435	65.0976439505
chr5	42578211	42608009	chr5	42863631	42889751	"0,255,255"	166	chr5-chr5-19087	0.0	2.9380530973451329	283581.0	10.1398491884	31.4733276557	194.949640551
chr5	42903559	42928376	chr5	43379090	43395735	"0,255,255"	96	chr5-chr5-19104	0.0	2.4922118380062304	471445.0	7.39846118563	14.2816018464	97.7173474587
chr5	43069152	43078058	chr5	43206858	43213804	"0,255,255"	63	chr5-chr5-192	0.0	4.1804910418049106	136726.0	6.26179331109	19.50493531	88.1637591693
chr5	56261561	56291273	chr5	56579651	56615172	"0,255,255"	231	chr5-chr5-19291	0.0	2.4721746575342465	320994.5	8.96218401188	32.4177713839	274.979718566
chr5	62437108	62458469	chr5	62768099	62790156	"0,255,255"	97	chr5-chr5-19432	0.0	2.7865555874748633	331339.0	11.5999309162	17.3663590464	138.204845177
chr5	65068887	65086073	chr5	65474392	65492976	"0,255,255"	77	chr5-chr5-19465	0.0	2.5370675453047773	406204.0	6.66737816322	12.0046402464	108.796968306
chr5	65908570	65939506	chr5	66135859	66155730	"0,255,255"	128	chr5-chr5-19486	0.0	2.0091037513734107	221756.5	5.24526680793	12.0237851171	169.276153814
chr5	66854545	66867839	chr5	67204030	67218633	"0,255,255"	57	chr5-chr5-19513	0.0	3.5294117647058827	350139.5	6.29828862402	14.6150959075	86.1299960217
chr5	67237221	67249607	chr5	68259779	68279173	"0,255,255"	53	chr5-chr5-19524	0.0	4.7963800904977374	1026062.0	10.9638747322	19.0327588596	72.2015958815
chr5	68282605	68313450	chr5	68542429	68561229	"0,255,255"	139	chr5-chr5-19548	0.0	2.0046149408710701	253801.5	8.04383485815	12.9060968325	193.09147378
chr5	73932107	73958000	chr5	74637195	74660325	"0,255,255"	145	chr5-chr5-19660	0.0	3.5339995125517913	703706.5	16.2122401495	35.6822245268	198.634460609
chr5	43220380	43233516	chr5	43381688	43392618	"0,255,255"	129	chr5-chr5-198	0.0	2.7376910016977929	160205.0	12.0175554205	22.1227783592	199.934545563
chr5	78535085	78554432	chr5	78871399	78897719	"0,255,255"	123	chr5-chr5-19820	0.0	2.066532258064516	339800.5	6.30171871072	12.3689492853	158.782116887
chr5	79126302	79144957	chr5	79455254	79478585	"0,255,255"	101	chr5-chr5-19847	0.0	2.3293357933579335	331290.0	9.08049030966	13.2211268037	139.768740931
chr5	79691202	79712316	chr5	80074422	80091381	"0,255,255"	69	chr5-chr5-19868	0.0	2.9613733905579398	381142.5	8.23859912259	13.8304992336	81.8084884439
chr5	80670936	80696774	chr5	81186636	81205785	"0,255,255"	112	chr5-chr5-19888	0.0	3.0727023319615911	512355.5	13.0798946349	23.0470814478	151.25674928
chr5	80673488	80686815	chr5	81153640	81169580	"0,255,255"	57	chr5-chr5-19889	0.0	2.7602905569007268	481458.5	5.97564619832	10.4364911341	81.5435206993
chr5	87769202	87788098	chr5	88683143	88692545	"0,255,255"	55	chr5-chr5-20014	0.0	5.8235294117647056	909194.0	9.5396630894	23.6906605774	94.4628822122
chr5	96606260	96626737	chr5	97156623	97171998	"0,255,255"	65	chr5-chr5-20180	0.0	3.4102833158447012	547812.0	13.4971607645	15.8390322456	92.1336213807
chr5	115616469	115633063	chr5	115826304	115851126	"0,255,255"	86	chr5-chr5-20417	0.0	2.0131086142322099	213949.0	5.41171337284	8.41407099075	123.23446244
chr5	126537635	126557783	chr5	126793884	126814574	"0,255,255"	98	chr5-chr5-20567	0.0	2.2394881170018284	256520.0	9.19389376388	11.9027438355	114.882715608
chr5	131421154	131441241	chr5	131994770	132016162	"0,255,255"	103	chr5-chr5-20652	0.0	2.5970751386787696	574268.5	6.32105103901	16.3825237812	114.636526871
chr5	133415134	133431482	chr5	133940379	133957964	"0,255,255"	66	chr5-chr5-20739	0.0	3.2480314960629921	525863.5	9.94312473277	15.0820030393	80.0459487323
chr5	134021694	134042839	chr5	134575639	134594451	"0,255,255"	85	chr5-chr5-20768	0.0	2.9300241296104792	552778.5	9.95801876107	16.5546850707	87.9238440755
chr5	137619707	137632972	chr5	138053447	138071952	"0,255,255"	57	chr5-chr5-20906	0.0	2.5803531009506564	436360.0	8.41635603856	9.37658139334	79.6921692402
chr5	138573570	138587996	chr5	139187492	139202679	"0,255,255"	52	chr5-chr5-20932	0.0	3.0197444831591174	614302.5	5.94624581391	10.9426242525	55.7588303608
chr5	138629238	138655581	chr5	139242642	139271747	"0,255,255"	183	chr5-chr5-20936	0.0	2.1446150240243762	614785.0	9.07584679847	19.4809762468	195.545380752
chr5	138902770	138921141	chr5	139252562	139264058	"0,255,255"	58	chr5-chr5-20955	0.0	2.5483304042179262	346354.5	5.13138691433	9.33076489103	69.3913090042
chr5	139388934	139436088	chr5	139740820	139759189	"0,255,255"	202	chr5-chr5-20978	0.0	2.3178427997705104	337493.5	12.0024488967	25.1777667883	196.858191978
chr5	140226306	140247166	chr5	140715548	140732697	"0,255,255"	75	chr5-chr5-21006	0.0	2.2434938677834282	487386.5	6.01043018036	9.35442678116	79.0039230268
