chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr13	48595458	48597175	chr13	48768527	48770052	"0,255,255"	106	chr13-chr13-1	0.0	22.083333333333336	172973.0	40.6772417131	162.182334633	209.120873931
chr13	49669620	49669983	chr13	49847565	49848399	"0,255,255"	7	chr13-chr13-10	0.0	3.8181818181818183	178180.5	5.65633289824	10.4544504766	17.7961214636
chr13	28324223	28324468	chr13	28636748	28638024	"0,255,255"	5	chr13-chr13-101	0.0	inf	313040.5	300.0	300.0	14.3918680662
chr13	29845308	29845949	chr13	30112140	30113650	"0,255,255"	9	chr13-chr13-104	0.0	8.0999999999999996	267266.5	5.92340179931	14.5988316904	23.7246441398
chr13	26985409	26986637	chr13	27358898	27360160	"0,255,255"	13	chr13-chr13-106	0.0	7.7999999999999998	373506.0	6.30706313738	15.862422337	26.0721454769
chr13	29508296	29508832	chr13	29706905	29708056	"0,255,255"	7	chr13-chr13-109	0.0	4.3076923076923075	198916.5	7.91729993429	9.95418317809	21.9526680241
chr13	27405990	27407243	chr13	27425845	27426148	"0,255,255"	5	chr13-chr13-111	0.0	inf	19380.0	300.0	300.0	14.9131600315
chr13	91134051	91134965	chr13	91247501	91248275	"0,255,255"	7	chr13-chr13-116	0.0	5.0	113380.0	6.90241831296	11.8133318172	16.3813836049
chr13	99268670	99271508	chr13	99436075	99438813	"0,255,255"	34	chr13-chr13-117	0.0	12.499999999999998	167355.0	17.9652185984	44.4516657802	72.5619786964
chr13	97030922	97031350	chr13	97359087	97359621	"0,255,255"	5	chr13-chr13-119	0.0	3.3333333333333335	328218.0	5.40066999424	7.34050571128	14.6709995876
chr13	97018008	97018521	chr13	97359575	97359827	"0,255,255"	5	chr13-chr13-122	0.0	5.0	341436.5	5.79706453763	8.21012415589	13.1340948342
chr13	98840027	98841026	chr13	99033759	99034037	"0,255,255"	5	chr13-chr13-129	0.0	inf	193371.5	300.0	300.0	14.227108499
chr13	84896092	84897691	chr13	85816042	85816775	"0,255,255"	16	chr13-chr13-132	0.0	8.0	919517.0	6.36566117848	25.3098123459	36.2608279788
chr13	52652121	52653093	chr13	52809401	52809671	"0,255,255"	5	chr13-chr13-141	0.0	inf	156929.0	300.0	300.0	15.0402154791
