chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr5	151766436	151767017	chr5	151770345	151771238	"0,255,255"	5	chr5-chr5-1008	0.0	4.6875	4065.0	5.2360177848	6.11637598067	18.6685239083
chr5	151447493	151448801	chr5	151500812	151500845	"0,255,255"	5	chr5-chr5-1031	0.0	inf	52681.5	300.0	300.0	17.5922148451
chr5	108727326	108728919	chr5	108747716	108749221	"0,255,255"	15	chr5-chr5-1040	0.0	7.741935483870968	20346.0	5.01157195839	15.4827643397	28.7122263983
chr5	172983474	172984799	chr5	173144074	173145259	"0,255,255"	13	chr5-chr5-1062	0.0	6.0666666666666664	160530.0	10.6758870509	20.5655632455	28.0729468725
chr5	53109860	53110420	chr5	53114985	53115169	"0,255,255"	5	chr5-chr5-109	0.0	5.0	4937.0	8.5504160858	10.5812677838	19.5320639825
chr5	176447728	176448409	chr5	176543069	176543894	"0,255,255"	8	chr5-chr5-1107	0.0	5.7142857142857144	95413.0	6.11458667388	11.4904994592	15.0665978267
chr5	173616763	173616991	chr5	173619104	173620073	"0,255,255"	5	chr5-chr5-1114	0.0	2.5	2711.5	5.59393053638	8.21012415589	17.1200709739
chr5	176416095	176416758	chr5	176448752	176449986	"0,255,255"	6	chr5-chr5-1123	0.0	3.7894736842105265	32942.5	5.18447608668	7.25541764909	11.3431125177
chr5	170296191	170296708	chr5	170302354	170303380	"0,255,255"	5	chr5-chr5-1136	0.0	4.4444444444444446	6417.5	5.14675029532	5.86782189326	18.3824541758
chr5	160112785	160113985	chr5	160119038	160119535	"0,255,255"	8	chr5-chr5-1146	0.0	5.7777777777777777	5901.5	6.08031518132	10.6327575188	26.7626829776
chr5	149320955	149321193	chr5	149345350	149348064	"0,255,255"	7	chr5-chr5-1168	0.0	7.0	25633.0	8.28439383617	14.3739796049	19.6471312775
chr5	75506378	75507244	chr5	75511188	75511723	"0,255,255"	12	chr5-chr5-117	0.01	5.7931034482758612	4644.5	5.8766779831	9.75401606876	34.4319301458
chr5	149446209	149453454	chr5	149549010	149552456	"0,255,255"	20	chr5-chr5-1187	0.0	12.0	100901.5	10.0630261811	30.5306997297	40.1086676805
chr5	140547541	140548401	chr5	140646842	140647974	"0,255,255"	5	chr5-chr5-1197	0.0	3.5714285714285716	99437.0	6.32114406346	7.87900369691	11.6167660924
chr5	141590989	141594264	chr5	141616095	141620597	"0,255,255"	15	chr5-chr5-1207	0.0	9.0	25719.5	9.14660476635	19.0978890873	34.9916486148
chr5	140174922	140177444	chr5	140215358	140218701	"0,255,255"	9	chr5-chr5-1210	0.0	4.304347826086957	40846.5	7.1110784699	11.3940165118	21.1966069679
chr5	140664595	140665184	chr5	140710949	140713676	"0,255,255"	6	chr5-chr5-1212	0.0	inf	47423.0	300.0	300.0	10.3501952131
chr5	149442530	149442901	chr5	149548870	149550684	"0,255,255"	5	chr5-chr5-1223	0.0	5.0	107061.5	5.98008981307	8.21012415589	12.0331259658
chr5	10283933	10284412	chr5	10353512	10355461	"0,255,255"	5	chr5-chr5-1329	0.0	5.0	70314.0	6.92305567289	10.5812677838	11.1809379315
chr5	87399044	87400482	chr5	87411952	87412686	"0,255,255"	5	chr5-chr5-1404	0.0	3.8888888888888884	12556.0	5.78613318163	7.34050571128	15.4944080493
chr5	55172299	55175586	chr5	55306727	55309337	"0,255,255"	8	chr5-chr5-1459	0.0	5.454545454545455	134089.5	6.24733407292	9.95096288784	14.8068394407
chr5	75509777	75511427	chr5	75566982	75568630	"0,255,255"	6	chr5-chr5-1502	0.0	5.3684210526315788	57204.0	5.09091332306	7.25541764909	13.806525689
chr5	78293352	78295229	chr5	78359204	78362873	"0,255,255"	11	chr5-chr5-1517	0.0	4.8125	66748.0	9.44751017475	16.4194995593	16.9830443809
chr5	76402640	76404035	chr5	76542906	76544771	"0,255,255"	7	chr5-chr5-1543	0.0	4.454545454545455	140501.0	7.55305662575	10.4544504766	19.1812651117
chr5	39399064	39400935	chr5	39424222	39425671	"0,255,255"	6	chr5-chr5-1554	0.0	4.5	24947.0	8.7837114898	11.2598573158	15.7991437472
chr5	39073498	39075563	chr5	39137331	39139310	"0,255,255"	6	chr5-chr5-1622	0.0	4.5	63790.0	6.79700563763	8.42686714338	12.5980722288
chr5	181186846	181191546	chr5	181242291	181248417	"0,255,255"	19	chr5-chr5-1647	0.0	7.5479452054794525	56158.0	5.52652079718	19.9828764417	18.0187658573
chr5	181221960	181225169	chr5	181242992	181245751	"0,255,255"	15	chr5-chr5-1648	0.0	5.5102040816326525	20807.0	5.44534185422	12.6463741707	17.8929105177
chr5	181052051	181053396	chr5	181098312	181100816	"0,255,255"	6	chr5-chr5-1662	0.0	4.5	46840.5	5.09754087366	9.46855140564	15.8059249421
chr5	131161961	131165536	chr5	131263298	131266063	"0,255,255"	14	chr5-chr5-1677	0.0	5.9393939393939394	100932.0	9.2598979456	17.8148828896	22.7809116409
chr5	134370501	134372250	chr5	134524101	134528529	"0,255,255"	12	chr5-chr5-1690	0.0	8.0	154939.5	8.60081383278	16.8978427868	13.9312162388
chr5	134409404	134413960	chr5	134523240	134528993	"0,255,255"	29	chr5-chr5-1694	0.0	10.633333333333335	114434.5	5.2185860116	46.2359474001	44.5026886159
chr5	139271984	139274133	chr5	139293509	139295666	"0,255,255"	10	chr5-chr5-1697	0.0	6.5	21529.0	7.47127126793	13.6283653833	18.6882580838
chr5	134738395	134739279	chr5	134758456	134760188	"0,255,255"	10	chr5-chr5-1702	0.0	5.6521739130434785	20485.0	5.77474063606	13.0332118184	18.2906060042
chr5	131163365	131165293	chr5	131382507	131384277	"0,255,255"	7	chr5-chr5-1705	0.0	4.5294117647058822	219063.0	5.18206257077	9.15381247286	16.7613488258
chr5	132419025	132420048	chr5	132488817	132492411	"0,255,255"	7	chr5-chr5-1710	0.0	5.5999999999999996	71077.5	5.31920992584	8.67111547937	18.5607027218
chr5	132830055	132830758	chr5	132881550	132883530	"0,255,255"	7	chr5-chr5-1712	0.0	7.0	52133.5	6.09906890604	10.4544504766	19.6666130328
chr5	131747182	131747943	chr5	131794833	131798945	"0,255,255"	10	chr5-chr5-1718	0.0	10.0	49326.5	7.88283721476	16.5992293314	21.1569094835
chr5	133031504	133033639	chr5	133051228	133052003	"0,255,255"	6	chr5-chr5-1747	0.0	6.0	19044.0	5.5571802637	9.16535310649	15.1976574353
chr5	139517121	139519218	chr5	139561064	139564749	"0,255,255"	14	chr5-chr5-1753	0.0	10.888888888888888	44737.0	12.7275460756	25.6174870953	29.2086968311
chr5	139561540	139563337	chr5	139569058	139569296	"0,255,255"	5	chr5-chr5-1762	0.0	5.0	6738.5	6.584183742	9.7044284504	14.6354337324
chr5	139650411	139651651	chr5	139708860	139712836	"0,255,255"	7	chr5-chr5-1770	0.0	5.4444444444444438	59817.0	7.25095547308	11.0569121889	14.8367893418
chr5	134632384	134632935	chr5	134648373	134649091	"0,255,255"	14	chr5-chr5-184	0.0	6.8108108108108114	16072.5	5.35894163117	17.1354434978	28.9356157481
chr5	43481635	43485093	chr5	43512379	43515469	"0,255,255"	19	chr5-chr5-1848	0.0	8.395348837209303	30560.0	5.19834327724	24.2265113666	25.2020101307
