chromosome1	x1	x2	chromosome2	y1	y2	color	observed	stripId	FDR	EnrichmentScore	EnrichmentScore_X	EnrichmentScore_Y	-log10(binomal_p-value)	-log10(poisson_p-value)
chr21	10326607	10411628	chr21	10413550	10414138	"0,255,255"	493	chr21-chr21-0	0.0	5.3393501805054155	0.13660293710169022	0.24060517325524647	56.0867611939	279.669894377
chr21	14477692	15065165	chr21	15065087	15066128	"0,255,255"	1889	chr21-chr21-10	0.0	3.0538889886833123	0.026416994140433803	0.5099892008639308	4.82163733277e-17	300.0
chr21	35975095	36320843	chr21	36315222	36321703	"0,255,255"	3464	chr21-chr21-101	0.1	2.0804804804804804	0.0743842470312869	0.49176604202157864	4.82163733277e-17	300.0
chr21	36373953	36860212	chr21	36859936	36860747	"0,255,255"	567	chr21-chr21-107	0.1	3.0632090761750406	0.016630004399472063	0.4579967689822294	4.82163733277e-17	111.409952229
chr21	36706634	37072577	chr21	37070753	37073201	"0,255,255"	2340	chr21-chr21-109	0.1	2.2437434078051584	0.04912870039890825	0.4407609719344509	4.82163733277e-17	259.781631524
chr21	36827816	36988913	chr21	36988415	36989786	"0,255,255"	704	chr21-chr21-111	0.0	2.5806451612903225	0.026706118887750842	0.3025354533734422	4.82163733277e-17	104.199604969
chr21	36855113	37564424	chr21	37563989	37564860	"0,255,255"	1861	chr21-chr21-113	0.0	3.5333206759065878	0.019471211693189786	0.6665472779369628	4.82163733277e-17	300.0
chr21	36913107	37219540	chr21	37221062	37221639	"0,255,255"	527	chr21-chr21-114	0.0	5.7193798449612405	0.010522952816437371	0.29441340782122905	8.87718131091	281.598522336
chr21	37166452	37365239	chr21	37366439	37366989	"0,255,255"	327	chr21-chr21-119	0.0	3.6066176470588234	0.012868442800362048	0.2782978723404255	1.89510191713e-07	137.905367933
chr21	37840079	38113926	chr21	38111653	38114803	"0,255,255"	5690	chr21-chr21-131	0.0	3.1479944674965421	0.164593578247035	0.5759109311740891	4.82163733277e-17	300.0
chr21	38016679	38127676	chr21	38127273	38128557	"0,255,255"	240	chr21-chr21-134	0.0	2.833530106257379	0.007283542229370884	0.5714285714285714	0.00021600663021	42.5145556228
chr21	38693551	39445325	chr21	39444683	39446338	"0,255,255"	2825	chr21-chr21-136	0.0	4.2328438717410846	0.024734487317555794	0.6554524361948956	4.82163733277e-17	300.0
chr21	39062963	39389354	chr21	39386692	39389787	"0,255,255"	6652	chr21-chr21-139	0.1	2.5843045843045842	0.07680229067565696	0.643700406425392	4.82163733277e-17	300.0
chr21	41591270	41878064	chr21	41877770	41878641	"0,255,255"	724	chr21-chr21-147	0.0	2.1077147016011644	0.03515075010923921	0.29781982723159195	4.82163733277e-17	70.7413577963
chr21	41577175	41953453	chr21	41954231	41954765	"0,255,255"	1163	chr21-chr21-148	0.0	3.5016936394429807	0.032341490545050054	0.4096512856639662	4.82163733277e-17	300.0
chr21	41709712	42403818	chr21	42401139	42404601	"0,255,255"	9499	chr21-chr21-151	0.1	2.8041328413284132	0.098319084190697	0.5063972704979209	4.82163733277e-17	300.0
chr21	41752395	42051780	chr21	42051134	42052749	"0,255,255"	796	chr21-chr21-155	0.1	2.7610128338536244	0.019062672126829036	0.4342607746863066	4.82163733277e-17	132.253927602
chr21	41842586	42077094	chr21	42074567	42077428	"0,255,255"	1372	chr21-chr21-162	0.1	2.459662961634995	0.0302009729467961	0.5996503496503497	4.82163733277e-17	184.420292583
chr21	43572038	43769668	chr21	43767436	43770041	"0,255,255"	7709	chr21-chr21-216	0.1	2.909605585959615	0.12844694003365714	0.4910191082802548	4.82163733277e-17	300.0
chr21	43575791	43718411	chr21	43716763	43719183	"0,255,255"	1920	chr21-chr21-217	0.1	2.1761305678340701	0.06522625356706074	0.38662907772855415	4.82163733277e-17	199.461603886
chr21	43575892	43728245	chr21	43727806	43728765	"0,255,255"	2170	chr21-chr21-218	0.0	3.0332681017612524	0.0631768953068592	0.4108292313517607	4.82163733277e-17	300.0
chr21	43594441	43915635	chr21	43916661	43917401	"0,255,255"	2165	chr21-chr21-221	0.0	4.6649429002370173	0.017667988705544403	0.5764110756123536	1.16109529266e-05	300.0
chr21	43616317	44011503	chr21	44011177	44011935	"0,255,255"	936	chr21-chr21-222	0.0	3.306122448979592	0.006986221618474675	0.5333333333333333	3.39612044598e-08	234.817135908
chr21	15630426	15750641	chr21	15749393	15751148	"0,255,255"	770	chr21-chr21-23	0.1	2.1353300055463116	0.06684608038892265	0.46357615894039733	4.82163733277e-17	77.4568578191
chr21	43648482	44024031	chr21	44025825	44026523	"0,255,255"	814	chr21-chr21-230	0.0	5.1551614946168458	0.005917159763313609	0.5168253968253969	0.609651015417	296.585553323
chr21	43692066	43948610	chr21	43947033	43949165	"0,255,255"	860	chr21-chr21-237	0.1	2.5656324582338903	0.007291534189664674	0.7043407043407044	1.67553866327e-08	125.641877995
chr21	43704894	44201067	chr21	44298583	44299989	"0,255,255"	509	chr21-chr21-244	0.0	5.432230522945571	0.0038070306656694092	0.21102819237147596	3.22367127403e-09	195.405800245
chr21	43697965	43811054	chr21	43810777	43811924	"0,255,255"	352	chr21-chr21-245	0.1	2.4529616724738674	0.0058828444890114484	0.22110552763819097	4.82163733277e-17	48.0671916656
chr21	43721360	44011449	chr21	44012504	44012599	"0,255,255"	206	chr21-chr21-246	0.0	3.90521327014218	0.001761391328140364	0.4660633484162896	20.7253210398	125.062947011
chr21	43726808	43973531	chr21	43975202	43976429	"0,255,255"	453	chr21-chr21-247	0.0	2.5	0.0040522045602955515	0.6751117734724292	0.422772559547	63.73200888
chr21	18439945	18760105	chr21	18758639	18760755	"0,255,255"	2033	chr21-chr21-25	0.1	4.2478061011282904	0.22521324914146448	0.4927290353853611	4.82163733277e-17	300.0
chr21	43800497	43932688	chr21	43935127	43936078	"0,255,255"	272	chr21-chr21-263	0.0	3.2237037037037037	0.0040592773889295145	0.6634146341463415	1.83344050608	77.3122207927
chr21	44255924	44337214	chr21	44338191	44338655	"0,255,255"	210	chr21-chr21-268	0.1	2.644836272040302	0.02125506072874494	0.31203566121842496	0.0315961737337	33.3409667982
chr21	19861899	20270557	chr21	20269045	20271022	"0,255,255"	2523	chr21-chr21-27	0.0	3.5237430167597767	0.09738680665457213	0.5597958730863102	4.82163733277e-17	300.0
chr21	44456921	44939493	chr21	44935595	44939894	"0,255,255"	2819	chr21-chr21-270	0.1	2.2367690232484332	0.04792832004352483	0.6249168698736423	4.82163733277e-17	300.0
chr21	44661209	44906496	chr21	44904977	44907386	"0,255,255"	942	chr21-chr21-272	0.0	2.9309271935283139	0.020509917481329878	0.5385934819897084	4.82163733277e-17	172.100858892
chr21	44684820	44846554	chr21	44845903	44846939	"0,255,255"	1304	chr21-chr21-273	0.1	2.7206342582933445	0.04545771456459597	0.3959914971150926	4.82163733277e-17	210.405312586
chr21	44682880	45410026	chr21	45408220	45410652	"0,255,255"	7918	chr21-chr21-274	0.0	2.8998351950192274	0.060493082030086104	0.6597783518040163	4.82163733277e-17	300.0
chr21	44706249	45072742	chr21	45074115	45074263	"0,255,255"	249	chr21-chr21-275	0.0	2.9642857142857144	0.004108097406454168	0.41638795986622074	73.0163166636	152.061010676
chr21	44729366	44873131	chr21	44874646	44875374	"0,255,255"	360	chr21-chr21-276	0.1	2.8685258964143427	0.010610392289781603	0.368474923234391	0.584959754098	88.43790223
chr21	44757315	44912562	chr21	44911915	44912834	"0,255,255"	390	chr21-chr21-282	0.0	2.4753173483779976	0.009164395149920105	0.529891304347826	2.18002310893e-08	65.0690185589
chr21	44758105	44817489	chr21	44817085	44817649	"0,255,255"	254	chr21-chr21-284	0.1	2.6817496229260938	0.015727554179566564	0.24660194174757283	4.82163733277e-17	68.1173425944
chr21	44755162	44931507	chr21	44931227	44932421	"0,255,255"	550	chr21-chr21-286	0.0	2.608008429926238	0.012115604899110054	0.6179775280898876	0.431529553556	99.2898417679
chr21	44757319	44892341	chr21	44891793	44892637	"0,255,255"	335	chr21-chr21-288	0.0	2.034927866362946	0.008519620558988835	0.5482815057283142	0.107482299105	48.9828869453
chr21	44765024	44896304	chr21	44896947	44897608	"0,255,255"	395	chr21-chr21-289	0.1	2.0256410256410255	0.009986852750809062	0.4759036144578313	4.85808891103e-12	35.6372797948
chr21	24135518	24717508	chr21	24712938	24717943	"0,255,255"	5412	chr21-chr21-29	0.1	2.81026067089002	0.20816985921994	0.5402815214135969	4.82163733277e-17	300.0
chr21	44797603	44871455	chr21	44872838	44873250	"0,255,255"	228	chr21-chr21-297	0.0	2.9739130434782606	0.008202619081882285	0.41454545454545455	21.8995150407	139.637101033
chr21	44822383	45258368	chr21	45256517	45259345	"0,255,255"	3344	chr21-chr21-299	0.1	2.3009702057386638	0.041510979803120775	0.5198196797761542	4.82163733277e-17	300.0
chr21	44830573	45541672	chr21	45541098	45541983	"0,255,255"	3813	chr21-chr21-300	0.0	3.6868285345938978	0.02843760954035933	0.5263666482606295	4.82163733277e-17	300.0
chr21	44993787	45556732	chr21	45555661	45556973	"0,255,255"	1136	chr21-chr21-305	0.1	3.033827893175074	0.010618608737918528	0.49391304347826087	4.82163733277e-17	254.295134087
chr21	45029644	45309377	chr21	45308656	45310065	"0,255,255"	619	chr21-chr21-308	0.1	2.630311614730878	0.012161100196463654	0.3319034852546917	4.82163733277e-17	113.077294579
chr21	45030970	45551550	chr21	45550244	45552515	"0,255,255"	2684	chr21-chr21-309	0.1	2.6482486433152443	0.025999438164152934	0.6204345815996302	4.82163733277e-17	300.0
chr21	25443303	25734664	chr21	25732142	25735223	"0,255,255"	2298	chr21-chr21-31	0.1	2.8286558345642541	0.1579815756909116	0.449266862170088	4.82163733277e-17	300.0
chr21	45054222	45382753	chr21	45380851	45383794	"0,255,255"	2240	chr21-chr21-310	0.1	2.6013238880501683	0.03261027806085311	0.5375569954403647	4.82163733277e-17	300.0
chr21	45062723	45430839	chr21	45428123	45431305	"0,255,255"	3287	chr21-chr21-311	0.1	3.0155963302752293	0.03811942617912767	0.7317453250222618	4.82163733277e-17	300.0
chr21	45045704	45434150	chr21	45435537	45436188	"0,255,255"	796	chr21-chr21-312	0.0	3.4820647419072617	0.00911537360435156	0.766859344894027	76.7732896465	300.0
chr21	28702900	28884395	chr21	28883587	28884859	"0,255,255"	698	chr21-chr21-32	0.1	2.5262395946435032	0.07325776658270361	0.33982473222979553	4.82163733277e-17	99.3881325722
chr21	45138730	45404192	chr21	45403687	45404812	"0,255,255"	604	chr21-chr21-324	0.1	2.0779816513761467	0.009413671643652005	0.48670427074939565	2.03731535209e-11	72.3348116682
chr21	45192119	45469355	chr21	45469012	45470142	"0,255,255"	451	chr21-chr21-325	0.0	3.0954015099519565	0.00604549536869479	0.5324675324675324	2.37791581388e-10	90.2807399848
chr21	45278516	45421282	chr21	45420952	45421491	"0,255,255"	238	chr21-chr21-334	0.1	2.5764546684709067	0.004490057729313663	0.5573770491803278	0.00056217939425	51.047453769
chr21	46221751	46294882	chr21	46294686	46295298	"0,255,255"	446	chr21-chr21-338	0.0	2.7616099071207429	0.02544935805991441	0.3628966639544345	71.7183711631	210.255805052
